Input phrase,Assigned code
Rip in trash bag,10
Wood in recycled materials was too small to be used,0
Someone bumped the user causing them to hit the emergency stop and they had to restart the machine,7
The last person left shavings that required clean up,6
The user had to loosen the chuck ,0
The gloves were too big when trying to epoxy ,11
The wood scraps were too small so they needed to be thrown out,8
The garbage bag was ripped so it needed to be replaced,10
ripped trash bag,10
small table ,0
emergency button ,7
no gloves in their size,3
dirty lathe,6
ripped trash bag,10
tight work space ,7
work table too tall,4
Ergonomic issues,4
Small space leading to bumping,0
Previous users not cleaning up after themselves,6
Inadequate trash removal,0
Misplaced hand tools,0
Safety issues,0
Trash bag wripped,10
Had to throw away small scrap wood,8
Dirty work area,6
Accidentally switching off the machine,7
Putting their scrape away,8
Drill to big,0
Finding a clamp since they are never put away,5
someone walked behind them ,7
lathe was too tight,1
meiter saw was too high ,4
The saw was too tall ,4
There was a rip in the trash bag ,10
Had to take the trash out ,10
Unusable scrap had to move to the garbage  ,8
Glue had to set for 24hours ,11
The only drill out was hard to control/too big ,2
Someone tried to sneak by and they hit the stop button ,7
The miter saw was uncomfortable to use because of the height of the table ,4
The trash bag was ripped ,10
The 12V drills were not accessible ,9
She couldn�t find a clamp in the correct spot,5
The gloves were the wrong size ,3
The lathe chuck was too tight ,1
Drill was too big,2
saw was on a high table,4
lathe was covered in wood chips,0
12v drill was in unlabeled cabinet,9
gloves too big,3
holes in trash bag,10
too small of pieces in wood scrap,8
Gloves too large,3
Had to dig to find correct drill bit,9
Lathe was left dirty,6
Machine wasn't the most comfortable,6
Couldn�t find the right drill,0
The chuck key was too tight,1
The trash bag was ripped,10
A machine was covered in saw dust,6
Someone bumped into him,7
Gloves too big,3
Someone bumped into them,7
Table too high,4
Battery too big,2
Garbage bag ripped,10
Scraps had to be disposed of,8
Not clean workstation,0
Gloves wrong size,3
No clamp,5
Epoxy issues,11
Torn garbage bag,10
Wood too small to be used in free pile,0
table too tall,4
it being too loud for the user to concentrate ,0
some functions requiring a lot of brute strength ,0
Lathe being turned off,0
Wrong size drill,0
Had to take trash out ,10
Trash can ripped,10
Scraps of wood,8
Not right materials,0
Pushy people,0
People not cleaning up,6
Not the right equipment available,0
Uncomfortable Saw,4
Cutting the wood in half,0
Scrapping the wood,8
Drilling the hole,0
Cleaning up work space,6
Taking out the trash,10
Unorganized spacers,0
Mess left by others,6
Not enough aisle space,7
Emergency stop,7
Too small of scraps were left in the bin,8
Trash bag was ripped,10
Had to dig for a new drill,0
Couldn�t find a clamp,5
Lathe was covered in saw dust,6
Bumped the E-Stop when someone squeezed through the aisle,7
There was garbage in the scrap bin.,8
The garbage bag was ripped.,10
The miter saw table was too high.,4
The drill was too big.,2
He had to search for the wood clamp.,5
He had to wait 24 hours for the epoxy to cure.,11
"Someone left the lathe a mess, so he had to clean it.",6
"Messy workspace(had to take out garbage, clean off sawdust and scrap wood)",6
"People interference (bumped at lathe, chuck too tightened)",7
"Some tool usage difficulties (too tall table, switching to hand drill)",4
Wrong equipment (gloves),3
Full trashbag,10
Hole in trashbag,10
Sawdust covered miter saw,4
Miter saw too tall,4
Bumped and hit the emergency stop button on lathe,7
Clamps were not in correct place,5
Saw table was too high,4
Took trash out but bag ripped,10
Too big of gloves,3
Couldn't find correct drill,0
Had to clean up someone's mess on lathe before starting,6
Needed pliers to loosen chuck on lathe,1
Someone bumped into them while working on lathe,7
The drill was too large,2
Gloves did not fit them,3
They were bumped into the emergency stop button,7
Previous users didn't clean up their mess,6
Some scraps in the bin were too small to use so they had to discard of them,8
unclean workspace,6
lack of available tools,0
disorganized set up,0
Lathe too tight ,1
Scraps too small in bin,8
messy machines ,6
trash bag had hole ,10
people bumping into her ,0
The miter saw table was too high and awkward.,4
The trash was filled with wood chips that had to be taken out.,10
The only drills out were the hand drills.,0
Clamping the pen was hard.,5
The only gloves out were larger which made the epoxy process hard.,11
The lathe was covered in sawdust and chips.,6
Using the chuck on the lathe was hard because it was so tight.,1
Couldn't find a proper drill,0
misc scraps left in scrap bin,8
hole in the garbage bag,10
24 hour set epoxy,11
had to clean up after prior lathe user,6
accidentally hit the emergency stop button,7
had too much material,0
Some scrap left in the scrap pile was uselessly small,8
The trash bin was overfull and had to be taken out,10
The Miter saw was too tall,4
The 12v drills were in an unlabeled cabinet,9
He had to search for a clamp because they weren't properly put away,5
The lathe was dirty,6
"The walkway next to the lathe was too tight, so someone bumped the e-stop when they were trying to walk past",7
Ripped trash bag,10
Mitre saw a large size,4
Dusty saw blade,6
Accidentally tapped E-stop,7
18V instead of 12V,2
Clamps out of place,5
Too many small unusable wood scraps,8
Dirty workspace,6
Not even space,7
Others had misplaced equipment,0
Others had misused equipment,0
Poor housekeeping (trash was full),10
The miter saw is too tall,4
Trash bag was ripped,10
Drills were too big,2
Lost clamps,5
Too big of gloves,3
Dirty Lathe,6
Lathe was tightened too much,1
Having to cut the wood to size,0
Cleaning up the area after other people neglected it,6
Someone had left sawdust on their project,6
The clamp on a machine was too tight,5
Someone bumped into them while cutting wood,7
Miter saw was uncomfortable,4
took out the trash that had the wood scraps,8
had to search for smaller drill,0
cleaning up the lathe machine,6
restart the lathe after accidentally bumping into it,0
The right sized gloves were unavailable,3
The clamps used for drilling were misplaced,5
Someone had left chips of wood in the miter saw,4
The chuck for the lathe was tightened too much,1
someone left useless scrap,8
trash was full and had to be taken out,10
workspace was left messy by other user,6
lathe chuck was too tight,1
lathe was messy,6
couldn't find clamps or fixturing for epoxying,11
drills/batteries were unavailable when needed,9
emergency stop,7
garbage bag ripped,10
lathe too tall,4
18V too big,2
stuff in the way,0
Couldn't find right drill bit,9
Small wood chips that can't be used,8
Ripped garbage bag,10
Uncleaned station,6
Someone bumped into her,7
Ripped trash bag,10
Clips not put back,0
Waiting 24 hours to cure,11
Needed smaller drill,2
Machine covered in dust,6
dirty makerspace,6
unorganized tools,0
lack of awareness,7
ripped trashbag,10
very small scrap pieces of wood,8
Not being able to find the right drill,0
Miter saw table too high,4
Can�t find disposable gloves,3
Can�t find clamp,5
Not enough safety area around lathe,7
Equipment left in messy environment ,6
Trash bag ripped,10
unorganized tool storage,0
messy workspaces,6
"dangerous tool setup (lathe not clean, drills, etc.)",0
"improper equipment (gloves, drills)",3
The miter saw table was too high,4
The 18v drills were too powerful,2
There weren't any clamps put away,5
Miter Saw,4
Clamps,5
18v Drill,2
Trash bag ripped,10
Saw off track,0
The equipment was dirty,6
Some tools weren't in their correct places,0
People weren't being specially aware,0
Some of the equipment was too big for her,0
The bag of scraps ripped,8
She had to wait a day for the epoxy to dry,11
People didn't clean the lathe after they finished using it,0
Miter saw slightly too tall,4
Scrap bin had many pieces of unusable wood,8
Trash was full,10
Gloves didn't fit right for epoxy,11
Lathe was messy,6
People forgot to return clamps after use,5
The miter saw was a bit high for the user,4
The gloves were too big for the user when using epoxy,11
The wood scraps box was filled with unusable pieces they threw out,8
The trash bag ripped when taking it out,10
"The next day, someone didn't clean the sawdust off the machines",6
dirty work area,6
unorganized tools,0
too tight of a chuck on the lath,0
too high of a miter saw table,4
incorrect materials in the scrap bin,8
ripped trash bag,10
Uncomfortable table height,4
Oversized Gloves,3
Misplaced clamps,5
Gloves were too big,3
Scrap bin was full,8
Work space was dirty,6
Had to find a different clamp size,5
Table was too tall,4
Somebody bumped into him,7
He had to clean the scrap bin,8
He had to clean the lathe he used,0
He had to adjust the chuck on the lathe he used,1
He had to empty the garbage bin,10
He had to replace the garbage bag on the garbage bin,10
He had to wear oversized gloves in the wood shop,3
Had to clean out the scrap bin because many pieces too small to use,8
Miter saw was a bit too tall to use but still had to use it,4
Gloves were too big so fumbled with applying the epoxy.,11
Had to use chuck to loosen drill bit because previous user overtightened it.,1
Had to clean off lathe before using because previous user left saw dust all over.,6
Got bumped while using lathe and hit the emergency stop button.,7
Had to wait overnight for epoxy to cure.,11
saw covered in sawdust,6
unusable scraps in the scrap bin,8
miter saw was too tall to reach,4
time to dry,11
Sand on his project,0
Missing clamp,5
Miter saw higher than intended,4
Pressing emergency stop on sandbelt,7
Wrong electric drill,2
Hole in trashbag,10
Garbage ,0
Uncomfortable equipment,4
Bumping stop button,7
Incorrect size power drill,2
Miter saw table too high,4
Incorrect size gloves,3
Uncleaned machines from previous users,6
Machine incorrectly set up by previous user,0
Unusable wood scarps were discarded in wrong place,8
Trash bag was torn,10
