Speech Segment,Axial code(s)
"Like you know, those games where? Take the Wii. Where you like, move around and then it detects what your movement is to determine what the input is? So like the example that my professor gave was like if you're playing ping pong instead of like you actually physically moved to catch the ball as you're playing pinball.",5
Mm-hmm. OK. So it's like you're playing ping pong with body movements is that what you're conference?,0
"Playing ping pong. Against this hypothetical TV screen and then it's scanning you and your movement depending, and it'll say like the ping pong bounce or not, depending on if you actually caught it.",7
"OK, I got you so. It's it's not quite literally kind of like I'm thinking like Xbox, you know, like that, right? Sort of.",0
"The Kinect or whatever it's called, right?",0
Yeah. Xbox. There is a Kinect that we can borrow. It's in the hardware lab.,0
OK. Interesting.,7
I'll put that. It's it's like gesture detection for like.,0
"I know there's like I know for like body movements. We can also use like you guys know OSC, OSC data. It's like you can transmit data from like.",0
"Like image detection or something so a camera can detect all your body movements and all your body like translations, positions, rotations into data and it’ll like transmit that data to whatever IP address that you want and that could be to your laptop or to your IPad or anything? So we can use that data based on your body movements for anything like the ping pong idea. That's just one way to go about it. Or we could quite literally just use the Kinect, I feel like it's straightforward.",7
"Alright, OK.",0
"OK. So, like what? What general field are we all like thinking about going into? A game dev game like a game idea? Sort of. Or do you want to make something like a, cause like an idea that I had was maybe like sort of like a like just a hardware thing. So like like in the like orientation sort of thing, he gave an example where like someone made a like a like a camera like he just duct taped his phone camera on his like face and he just had, like, a bunch of flex sensors. And he just quite literally like just controlled the zoom on it just to, like, see how far people are or whatever it is. Like. It was a simple project, but apparently did really well. So I was thinking something like that. Like, we would have some, I guess, physical sensors and we could make the user interact that way and it translates to maybe your web page or it does something? I don't know this is an idea.",7
Cool. Do we know? Like what category are we trying to go for like? Is it just hardware?,0
"So if you haven’t looked at the DevPost, there are no like tracks per say",0
"We're just trying to go for the top 12 then. OK, OK.",2
Seems like it because most of the categories are blockchain.,0
True. Yeah. Blockchain and some like this LLM stuff.,0
Yeah. OK. All right. So we have control robot with camera gestures object.,0
This is from the chat. This is possible bad things on the.,0
"To be fair, like if we're making a game, it's gotta be like sort of simple. You know what I mean? Because like, yeah.",6
That's why the the gesture thing is like simple enough.,7
"Yeah, exactly because like, if you make a like a game, it can get like super complicated and it's gonna take too much time.",5
"Especially weekend. Yeah, for sure.",0
"AI will be, I think it's like. If AI if we have like. Has anyone prepared any like data set?",0
Is that for training?,0
We research it or we use LLM.,0
There's that.,0
Like something public domain I guess.,0
OK. And I guess you could skip that. OK.,0
"So we're feeling game Dev and computer vision. Sorry, I'm kind of like think more along that line",6
Does anyone else want to add or subtract a topic? Yeah to what we're thinking about?,5
Invested robotics will be overused. Like what does that mean?,7
"Ohh, it's like everyone's going to be doing it in this hackathon so we.",7
"Well, there's this.",0
"I I feel like I feel like a lot of people are gonna at least use hardware. They're they're preaching about hardware being like a big thing for this hackathon, so I think a lot of people will take advantage of that.",8
"No, this is just my fears that I listed out, you don't have to.",0
So they're not like we're not doing.,0
This yeah.,0
It they're just. Like either.,0
That's it.,0
"Yeah, I don't know if they'll be overused, honestly, but we'll see. OK. I think there's a lot of.",0
"OK, wait.",0
"Like, yeah, I spell for.",0
Let's sync up. Sure. I don't know. It could be like something super small to solve a problem. Like what's a teeny problem?,5
"Yeah, yeah, I like that.",7
"Is there a problem that you guys, maybe you want to like fix, but say like like sort of help? Like how to tie my laces?",0
"OK, cool idea, tie laces. How would we go about?",7
"That it's difficult, right you need.",0
OK.,0
I'm thinking about just two ways.,0
"You know, you put your shoe so.",0
"Put your shoe in one place and if something happens or like a robot that walks to you, but that’s just added complexity. Forget all of that. Forget the implementation.",7
If we can somehow get a robot to tie a knot,0
Pretty fire.,7
Come on.,0
"Hahah pretty fire, right? You can get like way more use cases from that. You can sell it like crazy.",0
"OK, here's an. Idea. Well, it's like we have a robot that sorts like trash for recycling.",0
I don't know. Sorts trash like like goes in the trash.,0
"I know that there's already libraries for the the vision aspect of it. If you don't want to build from scratch, I know that there is previous like almost this exact idea on devpost that we can like, be inspired by.",0
We can write that down. At least that's that's something.,7
"I should. Wait, you're imagining something that picks our trash or like categorizes when you throw it inside the bin that categorize?",7
"Like it will be like. It'll at least make recycling a bit easier because sometimes people may not know. OK, what do I do? I picture this is being like a universal bin. You can dump it out in and it sorts it itself OK. Like, that's just the idea.",7
"See with that my question is, is it something that picks something up and puts it down in the basket? Is it that the baskets have like valves that change where it lands?",7
"Yeah, I got you. I'm thinking maybe it'll be a just add an item. It'll have to move over the baskets because if it's a valve then I don't know how it's going to. We might have to add some like ducts or something. I feel like that then it might be complicated.",7
And that's what our the 3D printer would be for. I don't know.,0
OK.,0
But it's on here.,0
"Here, alright, this is an idea anymore. I mean, it could be something. A really small idea like I don't know. Small problem. Something to clean your glasses. I don't know. Yeah. I just. No, I'm just like throwing stuff out. I don't really. Yeah.",6
How do you program like a homing feature?,0
"Coming to what homing slide, what?",0
"A homing feature. Like if I throw it that way, but I'm actually aiming for that way to like change trajectory to go where I'm aiming.",0
"Think what you can do is yeah, for sure, depending on what sensor you use. I guess if you use a camera and you can track a ball and predict it trajectory, but usually you need 2 balls to kind of see it in a 3D space and create a vector that projects that you know the direction and then.",4
Sorry I'll just pick a.,0
"You know, if you have some sort of thing that's like angling it, then you correct that vector according to what you sense with that camera or whatever sensor you're using. That's something you can do,.",0
"What do you call those things that shoot the ball when you're playing a sport? One of those, but like an automatic aim, like a paddle? No, like. You know the the machine they like. Throw the baseballs when they practice pitching. Yeah. Yeah. But, like, with aim.",0
OK.,0
Aiming,0
"Yeah, I think. Like when evaluating a hardware project, we can the difficulty of how hard that project is we can like break it down by looking at the the numbers, degrees of freedom, right. And so the more degrees of freedom there is, the harder the project will be, right. And I think we should limit ourselves to a certain degree of freedom. Right. So.",6
What would be an example of a degree of freedom that's doable?,4
I say anything more than one or two is pretty hard.,0
What is an example of one or two degrees?,0
"So something that just rotates is 1 and then anything like with two joints, that's two degrees of freedom. So degrees of freedom is just like how many variables do you need to to describe the position of something? Right. So because with every increased degree of freedom, the math becomes more complicated, but the hardware required also scales, right? Yeah.",4
OK.,0
"So I mean, I think like limiting ourselves will help because like if we do something too ambitious like we might not even get like half halfway through.",2
"Yeah, for sure.",0
Right. And I think like completing a project is better than going halfway and like giving up.,2
What chore do we have that's like one movement to complete? Cause I was thinking like dishes.,0
"OK, I don't think we need to lend ourselves in our thinking, but rather just like the solutions we can come up with. OK, they should be like simple right in terms of mechanisms at least.",6
I I guess my confusion is what are examples of simple?,0
If it's.,0
Are examples simple enough?,0
"Yeah, I remember there was this project a couple years ago. It was like somebody making a pills like sorting thing and basically all you had to do was like 1 motor and then what it would do is like it would rotate and then just dispense a number of pills into a box and then that was like, you know for people with like Parkinson's or something, they can't remember? Like, no Parkinson's. What's the when they can't remember their.",0
Alzeihmers,0
"Yeah. And then that helps them to, like, keep track of their pills intake. So like, that's an example of like a hardware hack, but it only has one motor, 1 degree of freedom, which makes it really simple. Also, it's a very good solution to a problem. That's nice.",0
Pretty nice.,0
"So like I would say that's like a really good example of like how to make it super simple, but also still remain hardware.",0
"Makes sense, yeah.",0
"I don't exactly know. How to do it but. Like counting change. We just have to measure how the diameter of each coin is. That weight? Yeah. Is that in, like, limited degree of freedom? Enough.",0
Oh yeah.,0
Or weight as well.,0
"Yeah, I mean, the simplest way you know how to do it in like actual machines? They literally just have like a bunch of holes and then the smaller coins falls in the smaller holes. You just roll it down and then they fall in the smaller holes and then.",0
That's nice. That's actually pretty handy.,0
"Yeah, like it's a very simple mechanism. There's like nothing required in mechanically because all you have to do is like a sheet that has like, hole cut out.",0
OK.,0
Right.,0
So now we're at too easy what's in the middle?,0
"Well, I think. Like we don't have to think about when necessary the solution is like we can start just by thinking about what is the problem we’re not solving right? And then we come up with asimple solution. But I'm not like a super good ideas guy, so I'm just like. Any inspiration?",10
"That's good of inspiration, at least.",0
"Well, you might want to remember this one of the sponsors is VM. So VM has like a bunch of robotics and a lot of APIs to do a lot of computer vision stuff very easy. That's good. Yeah. So, like a lot of pre growth stuff that we can use. So for example like they give you cameras they give you like motors like wheels that kind of thing mobility and like physical actions. So like for example. Because I went for like another hackathon with your sponsoring and the demo was like the demo application is this like tray bot that just goes to human beings as if when it finds human beings and gives you a food item, or like turns away if you're like wearing a Pacman shirts and then yeah.",8
"Yeah, yeah.",0
"So that kind of tech is really difficult to from scratch, but we have it pre built so you can include that if you're worried about complexity.",0
But do you know how to like go about using it? Because I've I I've never experienced like that the.,10
"They have a workshop later, but like also according to like, I watched the workshop last night. It seems very simple like yeah, almost purely software, and like a bit of like mechanical testing and they give you a lot of functionality. Just in software. OK, OK, yeah. That's just to unblock you guys if like complexity of like task is an issue.",9
"Yeah, yeah, yeah.",0
Problem wise doesn't help us at all.,0
We're putting each other. I'm going to finish.,0
"Trying to think about what I struggle with, but honestly just like can't wait, can't wake up in the morning like stuff like that. It's not like anything that’s. You can think about that.",0
"We could. We could have like someone in my school made a like a virtual assistant, their own virtual assistant. I don't know how they they they used PS5JS and Arduino. I don't know how, but they did that through a server. And it was quite simple. It was just for a few buttons. Like I don't know, it sets an alarm and when he wakes up. It it obviously wakes them up and then it tells them like whether it's something I don't know. I don't know how he did that. You should have asked but.",5
Think you can run?,0
Google Assistant or like one of them to make a template. Yeah. Do you remember the accountability?,0
Life. Yeah. Like an assist. Yeah.,0
Oh yeah.,0
The project that I. Told you on the bus.,0
RFID tags.,0
"Yeah, cause he said about waking up. I I did a project. The part that's relevant here is RFID tags for accountability. So if the user needs to keep brushing their teeth and needs to keep drinking water but they don't do it, so the RFID tag is at the mirror is at the fridge, the alarm will not shut off until they go to the fridge.",5
Wow. Wow.,0
"So like, yeah, so.",0
Motivation. Annoying motivation.,0
"It works but in our case, something along the lines of in the hypothetical universe we are all roommates, and then you were assigned to take up the trash, but the trash was not taken out. How do I tell you? And then the RFID tag could be or a.",7
That's pretty cool.,7
"Like we could have RFID hypothetical RFID's throughout our shared apartment of like this is tap this if you're done with the laundry, tap this if you did the dishes right, something that would add functionality could be a a weight sensor at the bottom of the trash can so that at a certain",0
So if you pick it up.,0
no if it passes a certain weight that means the trash needs to be taken out.,0
"Oh, OK.",0
"And then we could add software level functionality of like there is a list of who's in charge of what? Every day it will check who's like, who is supposed to do that trash. Only that person gets texted to do the trash.",0
I like this idea. I think that's cool.,7
"I I was actually thinking of it and I was like it's already her idea. So yeah, yeah.",10
It's a. It's a. It's like a creative idea.,0
It is.,0
Have you guys used the app called alarm me? No oh my god don't use this app.,0
Doesn't it like quiz you before you can shut off the alarm?,0
Alarm gives you like math questions mistake.,0
This was real mistake.,0
Oh my friend told me it's a harmless app and you know I downloaded it. It looks so harmless. It had like meditation Wallpapers it like had like nice section for meditation music. I was like oh this is so nice. So then it like said.,0
Oh my God.,0
"Yeah, alarm. And he's like, yeah, just set an alarm. That's cool. So in the morning. It like it it just plays like a nuclear sound effect and. This was back when I was living with my parents in high school. Oh boy, so my friends are Indian so they no anyway. So then then we were to shut that off was like it just put a difficult math question. Like, I don't know. One 56,000,600 something times divided by no, not even divided by modulus something. I'm like I just woke up like and my brain was so confused. I was like, what's happening? What? And then my mom came. Just like what are you doing? And I was like. OK. And then I was like trying to like work on the math, I don't know why I didn't use the calculator, my brain didn't wasn’t working when my dad came and when my dad came he was he was upset. So then. Oh my God.",0
This is so bad.,0
So then he's like to calculate and I was like right and then I've switched it off. Never again. That I won't. I I think it's still up there. But anyway.,0
I love. So many colors.,0
"But anyway, it kind of worked though.",0
It worked.,0
"It worked, yeah.",0
It kind of. It woke me up.,0
"Anyway. But anyway, yeah, not a slight detour, but I really like this idea. I think this so.",0
"And it fits our story, because we're all from or three of us are from [North American city]. So we can just say oh we did the things.",0
"So how we how do we go about that? And so yeah, so.",0
"So this is it, the same thing where you have RFID tags to log activities. Is that the main core idea?",7
"So this would strip away because. My healthcare one was super customizable, but here we already know what to expect. We know that they got a sweep, we know they got to take up the trash. We know they got to. Unload the dishwasher. It's like the same chores. We don't have to. Customize anything so. That that part is at least simpler.",7
"Yeah, for sure, because that way we can measure it, we can quantify it like the trash thing, she said. Like, yeah, goes down some weight. We can, yeah.",0
You could even like.,0
OK.,0
"But for that we would have to get, we would have to, I guess request for some things like a pressure sensor. Well, depends. Yeah, yeah.",0
"We would, yeah.",0
"Wait, so the person? So the idea is for the trash can trash just to understand is that we have like a presence that tells us when the trash is full and then notify somebody and then they can log it clearing it out? That’s my understanding.",7
Right. So it's kind of like by the trash can at this before my.,0
"We don't. We don't have to log any of it. I don't. Because we could simplify it to just be notified if you got to do a thing and then whether or not you did. The thing is, is just like whether you turned off the notification or not.",0
So I think. It's called.,0
"Like, yeah, so there would just be like a a button or some idea or something by the trash bin and when it's full I guess some sound will play indicating OK, it's ful, you need to take it out so when the one roommate comes, OK, cool. Takes out the trash and it goes below some weight level then it shuts off and then logs it or it doesn't log it. But it just says OK, it shuts off. OK.",0
OK.,0
"How can we apply this to? Like this? That's just the bin example, what about something else, like a roommate?",0
Something your mind? Seems very specific.,0
"Yeah, exactly. Because I feel like that would just be called the trash.",0
"Yeah, trash alarm.",0
"Thing rather than the meta system fraction 1. Yeah. Then a roommate assistant, you know.",0
So yeah.,0
What other who has roommates here? What other?,0
"Just generally like cleaning the the kitchen. I guess yeah. When people cook, they don't clean or come to clean, but they don't.",0
Right.,0
"Yes, toilets as well.",0
"Toilet. Yeah, washroom. Their room is their own thing I guess. OK. Yeah. Cleaning the room in general, vacuuming, mopping that stuff. Groceries? We sometimes split it so I feel like that's important.",0
It's not enough then keeping the fridge clean.,0
"Yeah, that's part of. Feel like?",0
It yeah. No part of kitchen.,0
The kitchen is.,0
"Very brokering. Yeah, kitchen is.",0
"Yeah, exactly like that includes like fridge, the stove, the cabinet, all the food you know like.",0
"We could make it so that like it's not fully automated, but it's like one step easy user experience kind of thing. We could make it so the hypothetical user experience would be the like the person set up the tags which would be a little bit of work. But like in in in our kitchen there is a tag for the stove, there’s a tag for the dishwasher, and then let's say the dishwasher is full, but hasn't been. What do you call it? Like run.",7
OK.,0
"If you know that you weren't assigned but you don't know who was actually supposed to take it out, you can just tap your phone on it and then the sent the text will automatically be sent to whoever was actually supposed to throw it out to load the dishwasher. But that like that part's under the hood. So like all I did was tap my phone, but under the hood it's already figuring out who was actually supposed to take it out. Let's send a text just to that person.",7
"OK. OK, you.",0
Got sure.,0
"So just accountability in that sense, yes.",0
"OK, so this idea is, to clarify, people, do people see things as not done? The house, like unclean floors, fill trash cans, et cetera, and they tap on it to notify and whoever's responsible accountable that's there. You're right. OK. And then what if we add, like, a layer where the if the person actually does it? Is this even worth at that point? No. I'm thinking of like if if the person actually does it, then they tap on it again and like logs for that specific reason.",7
"Okay, I think we would have to add a lot of functionality based on like OK if it's locked, when does it turn on again? Like when is it time to do this?",0
And go.,0
I realized that if you were able to like things where.,0
"Here, here, here, solid.",0
A lot of privacy. Like when you said that.,0
Would you like to put this. Into the blockchain and then call it a blockchain app.,0
"No, like for real. We could make it a hardware blockchain, which I doubt anyone will do",7
A hardware blockchain.,0
So how would that work?,0
"Like so. OK, but this doesn't line up with what's just been discussed. So what is more ideal is like you want to have a system where you want to prove that everyone is doing the work they're doing. Yeah, like around the house. So it can be RFID tags. It can be even like QR codes, but like basically, is when I do something, I will go and like scan it and then it signs basically that I did this transaction and creates an NFT. Easy as that. And it can only be created by me and it can only be created one person and like nobody can like. Basically nobody can like go and do it. That's the that's it's not a really practical thing, but it's a very good angle at blockchain, is what I'm saying. So if we can add like an actual use case for this, like where it's like compelling enough. I think we have like a pretty good like which what I'm trying to think of like what is the way to like make this like oh shit, this is definitely needed like this is this will help me so much. Because just that blocking my space is not that necessary, yeah. Yeah. So I was thinking like maybe we add a camera that just detects when the person like or like something like that I don't know. Like, OK, like what if a camera detects when someone does it and then only signs it if it's the actual person that's supposed to.",7
But how would you check if that was the actual person's face detection?,0
"I that would be the biggest problem, so whether it can identify humans. UM. I will actually just go to wherever the VM workshop is, ask them what we can do with that because from what I know the example app you can identify objects and images very easily. I just know how powerful that is for human beings. So yeah, that would be right decent hack. But yeah, that's just one way.",8
OK.,0
"No, this will actually. This is actually a pretty good use case in reality because in my apartment we have one guy who does this who doesn't accountability check and sounds like you do this. You didn't do this. You do this and he's like super straightforward like to the point. So you'll trust him. Like so. This actually makes sense to me. A lot, yeah.",0
But there is no wow to it.,7
"Yeah, we, we have the magical tech we have the maybe the it works part, we need the.",8
"This is this. This begs the question, I have a phone. I don't have one. As you build the. What happened? Other pocket. Sorry, because I was gonna. I lost my train of thought. Never mind, sorry.",0
Oh man.,0
You don't understand. I mean to say that as if it's like a difficult thing really is. ,0
"So like what I’m picturing is right for every like from what I've seen, whenever you have a hackathon and it's successful, it matches like 3 circles which is like one is is like technically magical. It can seem complex, it doesn't have to be. Like when OpenAI I first came out, it was like magic, although it was just do this for me. The next thing you have to do is that make sure it works. And the third thing actually that I've seen is that you have to be able to pitch it. Are you using? Make it like why we're like the judge care about it. Yeah. So for this current idea, I can see these two. I can't see this, which is like why I'm confused right now.",8
What are you missing? The pitch?,0
This area missing picture. Why would people do this?,0
Why would people do the blockchain version of the roommate assistant?,0
We have to add some functionality to make it pitchable but I feel.,0
"I am so angry that I didn't bring it with me, but I used to have RFID tags that we could demonstrate.",0
"I mean, I'm.",0
It's in the wrong backpack.,0
"No, I'm not too worried about it because I feel like we can use QR codes very easily.",0
"I thought of another idea. It's pretty simple, but it's just for drinking water. A lot of people. Maybe they don't drink 3 to 4 liters a day, so we could put some sort of sensor on the bottle just to measure your water intake.",7
Whether water depletes down beam tells you. Drink water and then something. This is an idea or?,0
"Do that except the first question is like, what if I don't drink my bottle, I drink 1 cup? It's like it's a it's not a technical question. It's like, a usability question.",0
I think that already exists. Like they're bottles that do that.,0
"Yeah, but. What that means is a good idea.",0
"Yeah, yeah, yeah.",0
Brainstorming is OK.,0
"You know, technically.",0
Small problems for you?,0
"Yeah, but it's interesting like. Hackathon the problems we're trying to solve that hackathon is not the same as like a problem like you might just want to sell a product, but it's very different.",8
"Like it doesn't need to be a problem as well, it could quite literally just be something for fun, like it doesn't need to.",2
Right.,0
"Yeah, it could. Yeah, it.",0
"It it definitely could, this is for winning",2
Yeah. Oh.,0
"A winning. Yeah, like, yeah, this is not for like hackathon and that's whatever you want",0
"Yeah, OK, that's fine.",0
"If we're doing it for fun, I was thinking, you know, the Tom and Jerry traps were like, it's so complicated and all it does is just, like, drop a cheese or whatever. There’s a word for. It like some kind of machinations but machine machine but basically but you get the idea of the like super complicated. Yeah, exactly that but an alarm sort of wake you up.",7
Yeah. And then it just does like.,0
"But a bunch of different cogs and wheels to eventually just like I don’t know, slap you in the face. That's robotics. That's one degree of freedom it goes.",0
"Yeah, yeah, yeah. I mean, we can start from like big topics of like what we're interested in and then branch off of that. And then like like we could just write some big topics on there and then. OK, see.",5
"Well, what I what I know? And what I know is making games that hardware. That's what I know.",10
"OK, there you go.",0
"Like games, games and hardware? Yeah.",0
What else?,0
"Processing, PJIS, that sort of stuff.",10
Anyone else?,0
"Yeah, I mean, if anyone has no, no stuff, throw away. That's really the stuff I know.",0
"Yeah, you could put down robotics, 3D Printing stuff and then mechanical like mechanisms and stuff. If you want to do and computer vision but like that's pretty specific though.",10
"I'll add here Web, mobile. I don't have like big topics that I'm particularly drawn to. I'm just like a Swiss knife anywhere. Yeah.",10
"Mine's web, mobile blockchain, blockchain.",10
I feel like we had pretty much everything,0
"Feels kind of, which makes it harder.",3
"Yeah, literally, consensus is hard.",0
"OK, let's draw some lines. How can we connect them?",0
"Hardware robotics, 3D printing and mech are all related.",0
And games. Like physical stuff.,0
"Yeah, they're kind of really. Yeah.",0
"Games processing, compasses, blockchain are all related. And these are just mediums.",0
Say that's pretty solid.,0
It's a lot of lines though.,0
"This up, down and.",0
"Oh wait, I kind of forgot. Yeah. No, I can't read. It. Thank you. Treating this like a notebook is just like angles everywhere.",0
How long are you guys going to be up for?,5
"Until 3 or 4. OK, that's realistic.",5
It depends on our like progress.,5
"Yeah, yeah. I think we should at least have the idea before.",5
"Yeah, like start coding and like do a little bit like soon. I want to attend a workshop, like soon",8
That's that's fair.,0
OK,0
"Oh, OK. But I also obviously want to contribute.",2
This when's the workshop 11?,0
Its at 11:30,0
Which one?,0
Just intro the machine learning.,0
Cool. Nice. OK.,0
Can we fast track this in any way?,8
OK,0
OK. We don't care about.,0
"I mean, I heard a really good idea. I don't know if this is going to inspire it. I mean, they're doing it so. I don't think we should do it, but they're like doing building blocks for AI so you know how you build an AI model, but then they're doing like they're there is a just language called like scratch or something where it's just basically, yeah, like build code being like blocks but doing. But they're doing that for like an AI model. So like, you build that in blocks. Which I think they're going to win.",7
That's a start up.,0
"Just kind of, yeah.",0
That's not a hackathon project. That's a start up.,0
That's really.,0
"I don't exist, but it's interesting, yeah.",0
It's very interesting.,0
It does exist in like seed stage because people haven't like mastered it yet. There's a policy for it.,0
"Yeah, I can talk about projects that I want to do, but are aren't realistic for hackathon and that could inspire stuff. For example, I want to do.",6
"Go, go.",0
"Slicing for five axis, slicing for a like 5 axis 3D printer. So you know how in regular 3D printing we have 3 axes, so XY and Z. Yeah, but in a 5 axis, your print head is able to move like like in orientations. So like pitch and yeah so it rotates and what it's able to do is for example, it's able to do so like I want to print a curve.",7
So it rotates.,0
"What it's able to do is print this way rather than printing like this and moving in the curve. So 5 axis slicing. That's cool is like something that's like not very developed, and they're all pretty crappy. So something like that can be improved, and something else I want want to build outside of hackathon, that inspiration, nonetheless, is like a gym for like training robots. And like, I mean, I just want to do it so I. And see how to build it. But basically you know how, like in reinforcement learning like you have to have an environment that kind of simulates the real world and so that's what the gym is basically. And then building that building 1 from ground up would be cool. Just ideas, throwing them out there.",7
OK.,0
What else is there?,5
"You guys, do you think it's OK if I go for the workshop? I'll be back in an hour, but do. You think is it already?",8
Past that time.,0
It is OK. And I'm hoping I can make it.,0
I think it's fine. You can probably come up with something and then.,0
Do you want? I I. It's OK. I can also stay like its no issue.,2
"I mean, I I don't know.",0
"OK, how attached are you to the idea? Like if you're like, if the three of us can keep brainstorming and then you catch up once you come back from your workshop. Because I think before, before we split up for the night, or, like, do whatever we want to do,",5
Should have this have the idea,0
we should,0
"No, that's that's important for sure. OK.",0
Yeah. And then I'll be like all through the title. ,0
I'm I'm I'm really open. I'm fine with it. I'm flexible.,10
Go learning your machine learning.,0
"Learn like the machine. Probably go halfway through, right?",0
"Like 10 minutes through. So, OK, alright, cool. But just keep me up.",0
Go now. So you don't mind instruction.,0
Keep me updated in case you guys need. Anything. OK. Yeah.,9
"Let's see. My confusing. Ohh I'm, I'm here I'm not. I'm not OK so my confusion is.",0
"Well, maybe I'm color blind. Oh oh. Might have hit that by accident, sorry.",0
"Like the ones on the bottom hardware robotics, 3D printing and mech are very physical and then games, computer vision processing and blockchain are the software side and I think a consensus could be made if we find a way to do something that's both hardware and software.",2
"Of course, yeah.",0
"But you need. You need tougher anyway, your hardware.",0
"Well, yeah, you do. Yeah. So there's no avoiding any. But you can do software without hardware, right? So.",0
That's how I get my degree.,0
That's not as wow.,7
No it wouldn't.,0
Like what the fuck?,0
"I think my biggest concern is like if we do hardware like, are we going to be able to get the resources to do it? Because I feel like it’s going to be pretty competitive. Everybody's going to be fighting for the 3D printers, so you know, like if we design something in CAD like will we actually get to build it like that's a tough question, right?",8
My expectation was more like you're you're our main hardware like the most hardware person out of all of us and they didn't want you to not have what you like doing in the project.,3
"Yeah, yeah, yeah. Yeah. I mean, I'm OK with doing software like if because limitations, right? So.",2
So what kind of software then would we want to build because I I limited mine?,0
"I'm OK with like I'm OK with anything I've done mobile. No, actually I have not done any actual mobile projects, but I've done like web and then. That web, but outside of that I've done a lot of other projects not for Hackathon, so yeah. Look, I'm OK with building anything, really. Like it's about learning, not using skills you've used before, so right.",0
So that that that removes one of our hurdles. We don't have to have hardware.,0
"Yeah. You don't. Yeah, we don't. Yeah.",0
And just dress software and it's like a.,0
World and then the.,0
Now it's just like huge rabbit hole. Where do we go now?,0
"Yeah. Because like, yeah, our ideas were based on hardware so far.",0
"I mean, we could limit ourselves to hardware if that makes it easier for brainstorm, like right? Like.",6
"Something that I haven't described yet. Do you guys know, have have you played Zelda before? And I know you haven't, but actually I think I can show you I brought my switch. But it's like I I did part of this project that I envisioned before, but I couldn't pull it off as well as I wanted to. So the Shika slate is the map and other tools, whatever of the last two Zelda games. One of one part that I really liked about it was wherever you've been, it keeps track of as well as how you got there. So the route or the path it like draws the path the way that I wanted to do that for us is our Google Maps history and just mapping our Google Maps history and how like we go about our day and recreating that and like so that's there's the map there's you would. Like take a picture of the universe with the Shika slate, so that would be like computer vision. If we want to make one project that everyone has their own part of. But yeah.",7
Interesting,7
Where I don't think I fully understand what that is.,0
So like.,0
"Actually, let me show you. Because switches need Wi-Fi.",0
Is it just like a map with the like the path on it or something? OK.,0
"Like at the most minimum, right? We said devpost, that's what I'm looking for.",0
You know they have snacks anywhere?,0
"I think they have snacks like right there. Look on the table look outside. Yeah, get some OK. Those are tripping hazards, I'm telling you. Thank you for so many outlets, but they're just kind of dangerous.",0
I know the other places had like little humps over these so you don't trip over them. Wait.,0
"Little humps, wouldn't that? Like they're kind of low, like really low profile, right? Yeah. Yeah, yeah.",0
"Like like speed bumps. So there's no tripping on, yeah. The whole wrestling.",0
