Input phrase,Similarity scores
Finding a clamp,"[0.7286059856414795, 0.6368298530578613, 0.6286287307739258, 0.6890602111816406, 0.8350597023963928, 0.6602203249931335, 0.7075433731079102, 0.6547901630401611, 0.7270002961158752, 0.677039384841919, 0.6168099641799927]"
Chuck too tight,"[0.8372828960418701, 0.6925195455551147, 0.6553247570991516, 0.6644717454910278, 0.6917815208435059, 0.6482792496681213, 0.7168209552764893, 0.642559289932251, 0.6837351322174072, 0.6439880132675171, 0.6382980942726135]"
Saw dust not cleaned up,"[0.6592358946800232, 0.63810133934021, 0.6417135000228882, 0.7239181995391846, 0.6828768849372864, 0.8067147135734558, 0.6550736427307129, 0.7226079106330872, 0.6653879880905151, 0.6871508359909058, 0.6240164637565613]"
Rip in trash bag,"[0.6596161127090454, 0.613703727722168, 0.6546143889427185, 0.6551491618156433, 0.730150043964386, 0.6954260468482971, 0.6906281113624573, 0.7702518701553345, 0.6451963782310486, 0.8740364909172058, 0.6381167769432068]"
Wood in recycled materials was too small to be used,"[0.7228020429611206, 0.6982707977294922, 0.7426884174346924, 0.7255796194076538, 0.7313205599784851, 0.7440490126609802, 0.6763166189193726, 0.8994182348251343, 0.7176429629325867, 0.7203478813171387, 0.6803410649299622]"
Someone bumped the user causing them to hit the emergency stop and they had to restart the machine,"[0.6971143484115601, 0.6343230605125427, 0.6696287393569946, 0.6862175464630127, 0.7389119267463684, 0.7231365442276001, 0.857421338558197, 0.6486573219299316, 0.6645045280456543, 0.761323094367981, 0.6927067041397095]"
The last person left shavings that required clean up,"[0.6605047583580017, 0.6314037442207336, 0.6882781982421875, 0.644558846950531, 0.7849529981613159, 0.7649898529052734, 0.6760963797569275, 0.7384674549102783, 0.6648690104484558, 0.7253789305686951, 0.6924535036087036]"
The user had to loosen the chuck ,"[0.9080572724342346, 0.761407732963562, 0.7369703650474548, 0.724846363067627, 0.7942227721214294, 0.779005765914917, 0.8393086791038513, 0.690726637840271, 0.7927864193916321, 0.7546287178993225, 0.7035216689109802]"
The gloves were too big when trying to epoxy ,"[0.7458656430244446, 0.7370874881744385, 0.8961780071258545, 0.6844384670257568, 0.6841286420822144, 0.6820643544197083, 0.7158836126327515, 0.7195386290550232, 0.6456546187400818, 0.6635730266571045, 0.757655680179596]"
The wood scraps were too small so they needed to be thrown out,"[0.7163976430892944, 0.6962399482727051, 0.7137165069580078, 0.7232608199119568, 0.7719327807426453, 0.7462649941444397, 0.6827300190925598, 0.9335471987724304, 0.707181990146637, 0.735160768032074, 0.6781098246574402]"
The garbage bag was ripped so it needed to be replaced,"[0.6791349053382874, 0.6160171031951904, 0.694705605506897, 0.6525704264640808, 0.7407967448234558, 0.7227166891098022, 0.6834575533866882, 0.7682388424873352, 0.6619505882263184, 0.9382542371749878, 0.6663472652435303]"
ripped trash bag,"[0.6334193348884583, 0.5735260248184204, 0.6474533677101135, 0.6323209404945374, 0.6962804198265076, 0.6899076700210571, 0.6527996063232422, 0.7423855066299438, 0.6281824707984924, 0.8924174904823303, 0.6043418645858765]"
small table ,"[0.6332674622535706, 0.628718376159668, 0.6230502128601074, 0.7605340480804443, 0.6593479514122009, 0.6543412804603577, 0.6587501168251038, 0.6965817809104919, 0.6798615455627441, 0.6030845642089844, 0.618285059928894]"
emergency button ,"[0.6505296230316162, 0.6726943850517273, 0.6593917012214661, 0.6620762944221497, 0.6972318291664124, 0.6322588920593262, 0.8043447136878967, 0.635280966758728, 0.6996034383773804, 0.7020277380943298, 0.6833194494247437]"
no gloves in their size,"[0.6208161115646362, 0.7642622590065002, 0.7775276899337769, 0.6619915962219238, 0.6405795216560364, 0.60772305727005, 0.6221184134483337, 0.6819853186607361, 0.6558586955070496, 0.6072230935096741, 0.5962587594985962]"
dirty lathe,"[0.7958780527114868, 0.6791633367538452, 0.6290350556373596, 0.6897932887077332, 0.666838526725769, 0.85850989818573, 0.7804304361343384, 0.6794337034225464, 0.6792810559272766, 0.6548628211021423, 0.615955650806427]"
ripped trash bag,"[0.6334193348884583, 0.5735260248184204, 0.6474533677101135, 0.6323209404945374, 0.6962804198265076, 0.6899076700210571, 0.6527996063232422, 0.7423855066299438, 0.6281824707984924, 0.8924174904823303, 0.6043418645858765]"
tight work space ,"[0.7170509099960327, 0.6875537037849426, 0.6857401728630066, 0.7178086042404175, 0.7110052704811096, 0.6645672917366028, 0.7036938667297363, 0.6628241539001465, 0.7248290181159973, 0.6280152797698975, 0.6581522226333618]"
work table too tall,"[0.676057755947113, 0.6614606976509094, 0.6597375273704529, 0.8119837045669556, 0.6526975631713867, 0.6637939810752869, 0.6753248572349548, 0.6722981929779053, 0.6399570107460022, 0.6057733297348022, 0.633914053440094]"
Ergonomic issues,"[0.6655265092849731, 0.6429466009140015, 0.6873342394828796, 0.7309939861297607, 0.6802523732185364, 0.6401812434196472, 0.7062370777130127, 0.6335052847862244, 0.6266697645187378, 0.6595005393028259, 0.6270147562026978]"
Small space leading to bumping,"[0.6643882393836975, 0.6572365760803223, 0.6278079748153687, 0.6999925374984741, 0.6899149417877197, 0.6847522854804993, 0.7375555038452148, 0.6919392943382263, 0.7064688205718994, 0.6580930948257446, 0.6381350755691528]"
