Speech Segment,Axial code(s)
"Well, you might want to remember this one of the sponsors is VM. So VM has like a bunch of robotics and a lot of APIs to do a lot of computer vision stuff very easy. That's good. Yeah. So, like a lot of pre growth stuff that we can use. So for example like they give you cameras they give you like motors like wheels that kind of thing mobility and like physical actions. So like for example. Because I went for like another hackathon with your sponsoring and the demo was like the demo application is this like tray bot that just goes to human beings as if when it finds human beings and gives you a food item, or like turns away if you're like wearing a Pacman shirts and then yeah.",Hackathon features
But do you know how to like go about using it? Because I've I I've never experienced like that the.,Self-awareness
"They have a workshop later, but like also according to like, I watched the workshop last night. It seems very simple like yeah, almost purely software, and like a bit of like mechanical testing and they give you a lot of functionality. Just in software. OK, OK, yeah. That's just to unblock you guys if like complexity of like task is an issue.",Team dynamics
"We could. We could have like someone in my school made a like a virtual assistant, their own virtual assistant. I don't know how they they they used PS5JS and Arduino. I don't know how, but they did that through a server. And it was quite simple. It was just for a few buttons. Like I don't know, it sets an alarm and when he wakes up. It it obviously wakes them up and then it tells them like whether it's something I don't know. I don't know how he did that. You should have asked but.",Team process
"Yeah, cause he said about waking up. I I did a project. The part that's relevant here is RFID tags for accountability. So if the user needs to keep brushing their teeth and needs to keep drinking water but they don't do it, so the RFID tag is at the mirror is at the fridge, the alarm will not shut off until they go to the fridge.",Team process
"It works but in our case, something along the lines of in the hypothetical universe we are all roommates, and then you were assigned to take up the trash, but the trash was not taken out. How do I tell you? And then the RFID tag could be or a.",Project
That's pretty cool.,Project
I like this idea. I think that's cool.,Project
"I I was actually thinking of it and I was like it's already her idea. So yeah, yeah.",Self-awareness
"So this is it, the same thing where you have RFID tags to log activities. Is that the main core idea?",Project
"So this would strip away because. My healthcare one was super customizable, but here we already know what to expect. We know that they got a sweep, we know they got to take up the trash. We know they got to. Unload the dishwasher. It's like the same chores. We don't have to. Customize anything so. That that part is at least simpler.",Project
"Wait, so the person? So the idea is for the trash can trash just to understand is that we have like a presence that tells us when the trash is full and then notify somebody and then they can log it clearing it out? That’s my understanding.",Project
"We could make it so that like it's not fully automated, but it's like one step easy user experience kind of thing. We could make it so the hypothetical user experience would be the like the person set up the tags which would be a little bit of work. But like in in in our kitchen there is a tag for the stove, there’s a tag for the dishwasher, and then let's say the dishwasher is full, but hasn't been. What do you call it? Like run.",Project
"If you know that you weren't assigned but you don't know who was actually supposed to take it out, you can just tap your phone on it and then the sent the text will automatically be sent to whoever was actually supposed to throw it out to load the dishwasher. But that like that part's under the hood. So like all I did was tap my phone, but under the hood it's already figuring out who was actually supposed to take it out. Let's send a text just to that person.",Project
"OK, so this idea is, to clarify, people, do people see things as not done? The house, like unclean floors, fill trash cans, et cetera, and they tap on it to notify and whoever's responsible accountable that's there. You're right. OK. And then what if we add, like, a layer where the if the person actually does it? Is this even worth at that point? No. I'm thinking of like if if the person actually does it, then they tap on it again and like logs for that specific reason.",Project
"No, like for real. We could make it a hardware blockchain, which I doubt anyone will do",Project
"Like so. OK, but this doesn't line up with what's just been discussed. So what is more ideal is like you want to have a system where you want to prove that everyone is doing the work they're doing. Yeah, like around the house. So it can be RFID tags. It can be even like QR codes, but like basically, is when I do something, I will go and like scan it and then it signs basically that I did this transaction and creates an NFT. Easy as that. And it can only be created by me and it can only be created one person and like nobody can like. Basically nobody can like go and do it. That's the that's it's not a really practical thing, but it's a very good angle at blockchain, is what I'm saying. So if we can add like an actual use case for this, like where it's like compelling enough. I think we have like a pretty good like which what I'm trying to think of like what is the way to like make this like oh shit, this is definitely needed like this is this will help me so much. Because just that blocking my space is not that necessary, yeah. Yeah. So I was thinking like maybe we add a camera that just detects when the person like or like something like that I don't know. Like, OK, like what if a camera detects when someone does it and then only signs it if it's the actual person that's supposed to.",Project
"I that would be the biggest problem, so whether it can identify humans. UM. I will actually just go to wherever the VM workshop is, ask them what we can do with that because from what I know the example app you can identify objects and images very easily. I just know how powerful that is for human beings. So yeah, that would be right decent hack. But yeah, that's just one way.",Hackathon features
But there is no wow to it.,Project
"Yeah, we, we have the magical tech we have the maybe the it works part, we need the.",Hackathon features
"So like what I’m picturing is right for every like from what I've seen, whenever you have a hackathon and it's successful, it matches like 3 circles which is like one is is like technically magical. It can seem complex, it doesn't have to be. Like when OpenAI I first came out, it was like magic, although it was just do this for me. The next thing you have to do is that make sure it works. And the third thing actually that I've seen is that you have to be able to pitch it. Are you using? Make it like why we're like the judge care about it. Yeah. So for this current idea, I can see these two. I can't see this, which is like why I'm confused right now.",Hackathon features
"I thought of another idea. It's pretty simple, but it's just for drinking water. A lot of people. Maybe they don't drink 3 to 4 liters a day, so we could put some sort of sensor on the bottle just to measure your water intake.",Project
"Yeah, but it's interesting like. Hackathon the problems we're trying to solve that hackathon is not the same as like a problem like you might just want to sell a product, but it's very different.",Hackathon features
"Like it doesn't need to be a problem as well, it could quite literally just be something for fun, like it doesn't need to.",Team goal
"It it definitely could, this is for winning",Team goal
"If we're doing it for fun, I was thinking, you know, the Tom and Jerry traps were like, it's so complicated and all it does is just, like, drop a cheese or whatever. There’s a word for. It like some kind of machinations but machine machine but basically but you get the idea of the like super complicated. Yeah, exactly that but an alarm sort of wake you up.",Project
"Yeah, yeah, yeah. I mean, we can start from like big topics of like what we're interested in and then branch off of that. And then like like we could just write some big topics on there and then. OK, see.",Team process
"Well, what I what I know? And what I know is making games that hardware. That's what I know.",Self-awareness
"Processing, PJIS, that sort of stuff.",Self-awareness
"Yeah, you could put down robotics, 3D Printing stuff and then mechanical like mechanisms and stuff. If you want to do and computer vision but like that's pretty specific though.",Self-awareness
"I'll add here Web, mobile. I don't have like big topics that I'm particularly drawn to. I'm just like a Swiss knife anywhere. Yeah.",Self-awareness
"Mine's web, mobile blockchain, blockchain.",Self-awareness
"Feels kind of, which makes it harder.",Alignment of goals
How long are you guys going to be up for?,Team process
"Until 3 or 4. OK, that's realistic.",Team process
It depends on our like progress.,Team process
"Yeah, yeah. I think we should at least have the idea before.",Team process
"Yeah, like start coding and like do a little bit like soon. I want to attend a workshop, like soon",Hackathon features
"Oh, OK. But I also obviously want to contribute.",Team goal
Can we fast track this in any way?,Hackathon features
"I mean, I heard a really good idea. I don't know if this is going to inspire it. I mean, they're doing it so. I don't think we should do it, but they're like doing building blocks for AI so you know how you build an AI model, but then they're doing like they're there is a just language called like scratch or something where it's just basically, yeah, like build code being like blocks but doing. But they're doing that for like an AI model. So like, you build that in blocks. Which I think they're going to win.",Project
"Yeah, I can talk about projects that I want to do, but are aren't realistic for hackathon and that could inspire stuff. For example, I want to do.",Design process
"Slicing for five axis, slicing for a like 5 axis 3D printer. So you know how in regular 3D printing we have 3 axes, so XY and Z. Yeah, but in a 5 axis, your print head is able to move like like in orientations. So like pitch and yeah so it rotates and what it's able to do is for example, it's able to do so like I want to print a curve.",Project
"What it's able to do is print this way rather than printing like this and moving in the curve. So 5 axis slicing. That's cool is like something that's like not very developed, and they're all pretty crappy. So something like that can be improved, and something else I want want to build outside of hackathon, that inspiration, nonetheless, is like a gym for like training robots. And like, I mean, I just want to do it so I. And see how to build it. But basically you know how, like in reinforcement learning like you have to have an environment that kind of simulates the real world and so that's what the gym is basically. And then building that building 1 from ground up would be cool. Just ideas, throwing them out there.",Project
What else is there?,Team process
"You guys, do you think it's OK if I go for the workshop? I'll be back in an hour, but do. You think is it already?",Hackathon features
Do you want? I I. It's OK. I can also stay like its no issue.,Team goal
"OK, how attached are you to the idea? Like if you're like, if the three of us can keep brainstorming and then you catch up once you come back from your workshop. Because I think before, before we split up for the night, or, like, do whatever we want to do,",Team process
I'm I'm I'm really open. I'm fine with it. I'm flexible.,Self-awareness
Keep me updated in case you guys need. Anything. OK. Yeah.,Team dynamics
"Like the ones on the bottom hardware robotics, 3D printing and mech are very physical and then games, computer vision processing and blockchain are the software side and I think a consensus could be made if we find a way to do something that's both hardware and software.",Team goal
That's not as wow.,Project
"I think my biggest concern is like if we do hardware like, are we going to be able to get the resources to do it? Because I feel like it’s going to be pretty competitive. Everybody's going to be fighting for the 3D printers, so you know, like if we design something in CAD like will we actually get to build it like that's a tough question, right?",Hackathon features
My expectation was more like you're you're our main hardware like the most hardware person out of all of us and they didn't want you to not have what you like doing in the project.,Alignment of goals
"Yeah, yeah, yeah. Yeah. I mean, I'm OK with doing software like if because limitations, right? So.",Team goal
"I mean, we could limit ourselves to hardware if that makes it easier for brainstorm, like right? Like.",Design process
"Something that I haven't described yet. Do you guys know, have have you played Zelda before? And I know you haven't, but actually I think I can show you I brought my switch. But it's like I I did part of this project that I envisioned before, but I couldn't pull it off as well as I wanted to. So the Shika slate is the map and other tools, whatever of the last two Zelda games. One of one part that I really liked about it was wherever you've been, it keeps track of as well as how you got there. So the route or the path it like draws the path the way that I wanted to do that for us is our Google Maps history and just mapping our Google Maps history and how like we go about our day and recreating that and like so that's there's the map there's you would. Like take a picture of the universe with the Shika slate, so that would be like computer vision. If we want to make one project that everyone has their own part of. But yeah.",Project
Interesting,Project
"I have an idea, but it's dependent on how good the camera will be. You know color theory?",Hackathon features
"And one application of that is, you know how this same left hand grey shirt looks different on different people with different skin tones. Like I was just thinking of computer vision applications and that's one way that we could do it. So like.",Project
"Oh, that's cool, actually. I like that, OK. That's cool. Yeah, because I remember there was this thing where it's like. It's like in Korea or something. And then like you go and then like you have like a thing and yeah, yeah, yeah, yeah.",Project
"Yeah, yeah. OK. Actually, I like that. That's interesting color theory. So I feel like there's a certain, like there's a challenge to that too from the software side. But it's it would be interesting to try to replicate that sort of effect of like, you know, having that the the like the templates there and then like it you know projects onto your face somehow and then like creates that effect and see what you look like with that, you know, wearing that that item.",Project
I know that that exists because I know they do that for nail polish. OK. Like it's AR and they they they map the.,Project
"Yeah. Yeah, I think that's very interesting. The CV [computer vision] part of that is interesting too, because like you have to understand, sort of physics to do that kind of reflection.",Project
Is it? Is it or is that straightforward like applying color theory?,Project
"Yeah, honestly, we can't. We can even do that in like web and then do it as like a Chrome plugin if we can do it simple enough. Like I don't know about the AR part, that might be tough, but if we just work with like an image of yourself or something.",Project
"We can borrow, but even if even if we can't, if even.",Hackathon features
"Oh wow. Damn. OK, so this. To reiterate again, this idea is getting people to try on different colors of clothes they want to get, and then see what's the best color fit for them? So like for an.",Project
"OK, wait. To clarify, because there's the AR, or like mapping it onto the person idea that we have, and there's the answering what color suits you.",Project
"Yeah, both are not that easy though, yeah.",Project
The second one needs the first. So are we good with just mapping it on to then?,Design process
"There. Yeah. So if we can find that then, great. Then the problem becomes understanding what color fits in the best. But OK, I have. OK, so technically I'm OK. I have like usability questions like how how are we like theoretically, how are we going to be able to like predict what they like when there's like in my mind, there's so many factors like mood, timing, event, something gonna happen in my life, etcetera? You know?",Project
"I mean that part gets answered by the fact that it's color theory it's it's not like what what you like, it's what suits your skin tone like the the color theory of it is. Like so because. He he, he, he. Visualizes it. When I explain of like there are different clothes, different colored clothes on you and then they they like in this consultation, they they flip between this red or the the the darker red or the lighter red and like the the the the question of which suits you would be just adding a condition of is this are these clashing colors? Are there complementary colors? Are they like? Do you see this as its true color next to it? Or do you have the illusion of it that it's actually lighter or darker than it actually is? Like that parts color theory.",Project
"OK so. If it's color theory, then why do we, why do we care about what the user thinks?",Project
"That's that's. That's what I mean by like it's it's just color theory. It's there's the reflection of it. Where, like it, it bounces back on to the face of the user. But at the lowest level, it's how do you have you seen those optical illusions where, like let's say, the black and white checkers and then they're 2 grays and you think they're different grays, but it's only because of the colors they're next to that they look different, but they're actually the exact same shade of gray?",Project
"OK. So to reclarify now... We use color theory. And computer vision to basically see. What the the persons colors are and use color theory in your mind? What's a good color fit for them? Is that. That's the idea. OK, I get that part.",Project
"This is the illusion that I was trying to explain. A&B are the exact same gray, but because of the colors around them, it looks like they're different grays, but they're the exact same shade of gray. That's what the color theory is of like. Does this gray look good on you, or does this gray look good on you? Is what we're trying to tell the user.",Project
"OK. OK, so like a practical application would be we take their profiles, we do some computation back to get like what colors best fit and then from then on they can use this tool to project the clothes of that colour on them when they're buying or whatever, is that it getting right, OK.",Self-awareness
"Could be. I know one of the sponsors. What does Genesis do again? Another one of the sponsors. I think if if they're if they're commerce website we could we could tweak this to say like this, make them shop for this color e-commerce. If that's what they do, and I remember.",Hackathon features
We can keep thinking of other stuff too.,Alignment of goals
"Yeah, yeah. I think I think my hunger is cutting in the brain.",Team dynamics
"Did you write the idea down? OK, I'm just gonna go down and ask and come back and be more refreshed.",Team dynamics
"I've done like I've built like little robots. I built 3D printers. Like it's all very. Yeah, like not hackathon type projects I guess.",Hackathon features
"I'm trying to see if a use case could be a hackathon project. Even if the thing itself isn't. Another computer vision application that I tried before, but I never actually solved so it’s still up for the running, I wanted to make something that like measured something from an image. Like if I take a picture of a door, will it know how thick the door is or wide the door is? And I know that you need either multiple images or three cameras at the same time to be able to like see depth. So that would be.",Project
"Yeah, like technologically a challenge.",Project
"I mean, I think worse come to worse, we can pursue one of the sponsors. Like sponsor, what do you call them? Challenges. So we can look through those and see if we, you know, see anything we want to do. Sure. Yeah. There's no lack of things to do so. Yeah, VM. Oh, that's pretty good. VM Rover with Raspberry Pi and LIDAR for each member if we win",Hackathon features
"Yeah, but they only have one eye, eye tracking glasses. That was a lot to read away, so I have no idea how they're doing.",Hackathon features
"Coherence is NLP and because it's an MLH prize, there won't be a lot of competition for it.",Project
What kind of use cases would we have for LLM's if that if we're going for a category?,Team process
"I feel like, uh, LLMs have been explored a lot already, so a lot of these cases have already been fleshed out, yeah. I don't see a lot there.",Project
"Because I think sometimes it's just like you might have a really good idea, but then it's like, does it actually work? I think that's hard to do.",Project
"OK. Well, let's see what they have. Microcontrollers. Do we want to request some stuff or just get a bunch of servos to begin with? I mean, we might not even use them, but. Oh, I requested them.",Hackathon features
"And then if we demo it, it could be as simple as I think one wow factor if we want to demo it could be are actually because you can dumb it down into we have an original image of what it's supposed to look like, and we're comparing what it actually already looks like right now to that original. So whatever is off if a thing is not in its container, something spilled, yeah.",Project
"Like finding, almost like finding differences, right? Yeah.",Project
"Like for demoing, we could have. Let's say random stuff like a water bottle or lanyard in front of our laptop webcam, and then there's an order like water bottle, webcam, phone that is supposed to be the clean room. And then we jumble it up and show and demonstrate that, hey, it's recognizing that something's wrong, and then we rearrange it in front of the judges. Yeah. And then rescan it. It sees that they’re more or less the right order. Boom. Demonstration.",Project
"Yeah, for sure. So this one was a little promising. The last thing I said was it promising? The clean room thing.",Project
"Sure. I think it's suitable, yeah.",Project
"Very, very unrelated, but a mechanics. Or robotics, or whichever it's thing that I think I'd want to make a rigged beyblade. Cool. Like, just be able to control where the Beyblade spins and goes",Team process
"that'll be sick. I think what we can do is you have the thing kind of hollow, and then you have some sort of weight and you just like control where the weight is angling and you will also have some sort of sensor probably an accelerometer to detect whether or not your level. And then you can detect your angle of change and then by changing the way you can change that angle. And then go to where you want to go. Which is cool.",Project
"See, you thought that all the all the way through.",Team dynamics
"Yeah, I'm not an ideas guy, but I can materialize your ideas.",Self-awareness
By servos you mean like the Arduinos for the Raspberry pies and those motherboard things?,Clarification
"Maybe they have a couple. Ohh no input but but it would be cool. So going off of like one of the ideas with, like the trash segregated thing, like, we could do some sort of like very simple vision stuff and then just have like a little robot that picks things and then places them or something like you know a good project to like incorporate a little bit of both. But then I think the other side of that, it's just like.",Design process
"Hey, what did I miss?",Team dynamics
That's cool. I like that.,Project
"If it was me, like if I were to try and short list I I kind of like the the shirt idea, the room roommate assistant. Like, I feel like I I would like those too, yeah. The color your shirt was kind. Cool. Yeah, you could also do something like also like depending on like the weather or something, what would be the best outfit? Maybe like a I don't know hoodie or shirt or something like that.",Project
"That makes sense. That would add to the functionality. I think it would be a different direction but it would still be the same project, it would just be like OK, we're splitting it up amongst ourselves. We can all do different things.",Team goal
That's true. Where did Speaker 2 go? Also a workshop or something?,Team dynamics
He said he wanted to be recharged when. he got back.,Team dynamics
"What does that mean? OK, cool. He's charging. This has a power plug on his back and just.",Team dynamics
"Like he's just a man. He's the robot. OK, that's. OK, these are some nice ideas at least.",Project
"I think that's cool with me. Yeah, I'm down to do that. What do what do you know how like, what do you know how to what to use?",Alignment of goals
"Like how to use? I mean I've got some servos so they're very basic, but we're able to do some like movement thingy would be fun or challenging. Now that I think about we could do like an arm tracking thing, but then we have the like.",Project
This this would most likely be difficult.,Project
Speaker 2 is back,Team dynamics
Do you think that you guys are and we all are too tired to function?,Team dynamics
What do we do instead?,Team process
Good question. I think we just take an idea and roll with it,Team process
"Like, yeah, OK, the colors, the thing was kind of cool. I think I like that. What do you guys think? Also the.",Individual goal
First question I want to ask. Is does VM do it? Like does it do it for us already?,Hackathon features
"We can use this for the detection, but determining the skin color we can like it detects you right? What data does it extract from us? Do you know (to Speaker 2)?",Clarification
"Sponsors are here until one, so if. If we collect all of our questions, they might be downstairs at their booth",Hackathon features
"Ah, So what other library open TV? Something like that. Something a little more out-of-the-box that does people instead of just like, does algorithms? OK so. To do: find libraries. What else?",Team process
"Because I think everyone should also just make an account, not miss an account. But that post like sign up for the hackathon and then get added and then we can make a GitHub repo and then. Yeah, add everyone and then figure out how we want to merge code and stuff and then go from there, yes. And then divide and conquer. What task do you want to do?",Team process
I'll make a repo. We want to call it. Right. What? What names do you want? What name do you want to call this? With this project,Project
We're all little bit dead though. I'm tired.,Self-awareness
This might be a difficult project because skin tone is like people write papers on this shit.,Project
"I mean, we could just do like a scale or something like.",Design process
Call it quits after we get to the divide and conquer part because I'm yawning so hard I am crying,Self-awareness
"Actually guys, can I ask how serious we are about trying to compete versus trying to build something fun?",Team goal
"I'm purely building something for fun. OK, I'll be honest. This is my first hackathon I have no intention of winning and just exploring things right now, OK.",Individual goal
"Yeah, none of the prizes are enough for me to lose sleep over.",Hackathon features
"This one I'm down for whatever. Like if you guys are all competing, I'm competing, you know, I'm going with the flow.",Alignment of goals
"Yeah, I kind of want to compete, I think. Right. But I don't want to force anybody. So I'm kind of like debating in my mind like what should I do right? Now, OK, yeah.",Individual goal
Do you have a win ratio yet? Do you have a win ratio yet?,Hackathon features
"Yeah, yeah. I don't want to, like, tell you guys later that ""I oh shit guys, I wish we should compete. And I just fucked up."" So yeah.",Alignment of goals
"Now I think I think the idea is cool, it's just that it's very like good for learning, and not for the prize category. Yeah, which is fine. Like, it's totally fine. I'm thinking about it for myself now.",Alignment of goals
"Oh, here's an idea. We can make an instrument using Arduino.",Design process
Right. What kind of instrument?,Project
"Any instrument somehow I remember like  one of my friends we actually had this idea but we never did it. You can make like sounds based on like a a distance meter. So like that was one idea or like a flex sensor. So the more you flex it just increases the pitch, kind of like a theramin sort of but like just using sensors a bit. And it was produce sounds or something at least you produce music that way.",Project
"That sounds pretty cool, yeah.",Project
What are we stuck on right now?,Team process
"The thing is, I would love to do this, but I have no idea how we would go about it. Like I I I'm I have zero clue where to even start it's. It's pretty cool. But I don't know what where to start.",Self-awareness
"So the only concern I have is when detecting the person, I want to know like whether the camera or whatever it is that we're detecting, how is it able to like get that data? Like how are we going to get data from that camera when it sees something? yeah.",Project
"Most likely using a library or else we'd have to do it from scratch,",Project
He said data set. Will we need something like a database?,Clarification
I wanna call dibs,Team process
"Yeah, we can divide and conquer that I think. Whatever you guys, whoever wants to do that.",Team process
"I think do the research, but I guess.",Team process
"Oh, she already did it? Cool.",Team process
Time to take a nap,Self-awareness
"Honestly, like I think this is a cool baseline, but I would love to include like like version two. I feel like it be really cool like this could be like a lke a like a closet for the decider? Yeah. Like we could add layers to it after we did the baseline. Like maybe like I said, like based on the temperature. What should I wear or like based on I don't know body type, what what should I wear? Like what cloth item should I wear? Like a hoodie or shirt or maybe some? Trousers or like all like?",Project
I think this would be cool. I like the idea a lot.,Project
What do you guys think?,Team dynamics
"Yeah, that's good.",Project
Yeah. Doable. Very doable.,Project
"And and following our categories. If we demonstrate using ourselves, we got the wow factor done because of the skin tone because of our our two Vs, we got the technical solid with the originality.",Hackathon features
"Design. I got that down Pat. OK, we have a solid shot.",Team goal
Uhm,Self-awareness
"Depending on the pitch, we have a shot.",Hackathon features
Yeah,Self-awareness
What don't you like about it?,Clarification
"No, just uhm, we are aiming for like the biggest category, which is like general overall prize? Yeah, that's that's where I'm like, apprehensive. Yeah, that's the hardest to win. Hence the fear. Uhhhhh",Self-awareness
"We could still do that the control robot with camera gestures. I have the servos, which is the one, we could do that one.",Alignment of goals
"Nah I don't want to disrupt you, I mean, you guys clearly have got your flow, you know what I mean",Self-awareness
If we can have something like a use case for this.,Design process
"Like well over the use case for that be control robot, so it would just move like up and down. But we're talking.",Project
"There is a thing called open pose or something and it's able to detect like angles between each joint, yeah. And then so it should be able to do like angle between these and then this and then another.",Project
"I mean the arm detection part, right? But then that's the thing. Like we have no spaces. But we use this up for that. It would be cool because I don't think anybody else has built like that, yeah. I don't think.",Project
Is it feasible within a hackathon?,Project
"For sure. Wait, no, I feel pretty bad. I feel like I'm blocking you. Guys from that idea.",Self-awareness
"Whichever decision you want to get to it, we just gotta get to one.",Team process
"OK, OK. Is it OK then if like? This is going to sound super asshole, but like is it OK then if like should I like split separately and do my own thing? I feel like I'm pushing this agenda on you guys, OK and it's like really, really like solo. Like it's it's like like I agree with you guys, you guys should be doing this for fun and like.",Team dynamics
"Yeah. What do you guys think? Like I'm honestly. OK, with that as well.",Team dynamics
"I get it bro. Like. No. Like everyone has their own motivations in this. Don’t feel bad, it's alright.",Individual goal
Like you came here. Like if you came here like you should do what you want to do. Right. You know what you feel most comfortable with,Alignment of goals
"Yeah. No, I mean, I'm not gonna lie. I didn't expect to be like this and I came here and now again I feel like I should, I just want to compete now. So yeah, yeah.",Individual goal
But I don’t want to like screw you guys over at all so. I will leave this up for discussion.,Self-awareness
"Its okay bro, don't worry about it. It's all good. Don't worry about it. But yeah, all right, sweet.",Team dynamics
"I mean, I think you guys can do this. I really think it's fun, I wish there was a computer vision prize.",Team dynamics
I lowkey like this idea.,Project
"Yeah, I know you guys like this idea, I feel really bad.",Alignment of goals
"You don't gotta feel bad if you wanna do your thing. You do your thing, and then we'll just post again on the looking for team chat.",Team dynamics
You guys okay?,Team dynamics
So I will root for you guys to reach top 12.,Team dynamics
Sounds good. But hopefully we can. Pitch this idea in the group and hopefully someone.,Team dynamics
"Yeah, yeah. And I can do the whole CV thing. So that's fine. No worries, I can do the whole CV thing so.",Team process
"Good luck, guys",Team dynamics
I don't know. I think I'll try to find. OK. But I'll think of an idea first for myself.,Hackathon features
"Yes, yes. Yeah. Cause just the prize pool is crazy",Hackathon features
"Yeah, let's go.",Hackathon features
Should I leave this here?,Team dynamics
"Here we're all conquered and divided, right? You're all taking a break, yeah.",Team process
