Input phrase,Assigned code
"See with that my question is, is it something that picks something up and puts it down in the basket? Is it that the baskets have like valves that change where it lands?",3
"Yeah, I got you. I'm thinking maybe it'll be a just add an item. It'll have to move over the baskets because if it's a valve then I don't know how it's going to. We might have to add some like ducts or something. I feel like that then it might be complicated.",2
"It works but in our case, something along the lines of in the hypothetical universe we are all roommates, and then you were assigned to take up the trash, but the trash was not taken out. How do I tell you? And then the RFID tag could be or a.",2
That's pretty cool.,6
I like this idea. I think that's cool.,6
"So this is it, the same thing where you have RFID tags to log activities. Is that the main core idea?",3
"So this would strip away because. My healthcare one was super customizable, but here we already know what to expect. We know that they got a sweep, we know they got to take up the trash. We know they got to. Unload the dishwasher. It's like the same chores. We don't have to. Customize anything so. That that part is at least simpler.",4
"Wait, so the person? So the idea is for the trash can trash just to understand is that we have like a presence that tells us when the trash is full and then notify somebody and then they can log it clearing it out? That’s my understanding.",4
"We could make it so that like it's not fully automated, but it's like one step easy user experience kind of thing. We could make it so the hypothetical user experience would be the like the person set up the tags which would be a little bit of work. But like in in in our kitchen there is a tag for the stove, there’s a tag for the dishwasher, and then let's say the dishwasher is full, but hasn't been. What do you call it? Like run.",2
"If you know that you weren't assigned but you don't know who was actually supposed to take it out, you can just tap your phone on it and then the sent the text will automatically be sent to whoever was actually supposed to throw it out to load the dishwasher. But that like that part's under the hood. So like all I did was tap my phone, but under the hood it's already figuring out who was actually supposed to take it out. Let's send a text just to that person.",2
"OK, so this idea is, to clarify, people, do people see things as not done? The house, like unclean floors, fill trash cans, et cetera, and they tap on it to notify and whoever's responsible accountable that's there. You're right. OK. And then what if we add, like, a layer where the if the person actually does it? Is this even worth at that point? No. I'm thinking of like if if the person actually does it, then they tap on it again and like logs for that specific reason.",3
"No, like for real. We could make it a hardware blockchain, which I doubt anyone will do",9
"Like so. OK, but this doesn't line up with what's just been discussed. So what is more ideal is like you want to have a system where you want to prove that everyone is doing the work they're doing. Yeah, like around the house. So it can be RFID tags. It can be even like QR codes, but like basically, is when I do something, I will go and like scan it and then it signs basically that I did this transaction and creates an NFT. Easy as that. And it can only be created by me and it can only be created one person and like nobody can like. Basically nobody can like go and do it. That's the that's it's not a really practical thing, but it's a very good angle at blockchain, is what I'm saying. So if we can add like an actual use case for this, like where it's like compelling enough. I think we have like a pretty good like which what I'm trying to think of like what is the way to like make this like oh shit, this is definitely needed like this is this will help me so much. Because just that blocking my space is not that necessary, yeah. Yeah. So I was thinking like maybe we add a camera that just detects when the person like or like something like that I don't know. Like, OK, like what if a camera detects when someone does it and then only signs it if it's the actual person that's supposed to.",0
But there is no wow to it.,8
"I thought of another idea. It's pretty simple, but it's just for drinking water. A lot of people. Maybe they don't drink 3 to 4 liters a day, so we could put some sort of sensor on the bottle just to measure your water intake.",2
"If we're doing it for fun, I was thinking, you know, the Tom and Jerry traps were like, it's so complicated and all it does is just, like, drop a cheese or whatever. There’s a word for. It like some kind of machinations but machine machine but basically but you get the idea of the like super complicated. Yeah, exactly that but an alarm sort of wake you up.",2
"I mean, I heard a really good idea. I don't know if this is going to inspire it. I mean, they're doing it so. I don't think we should do it, but they're like doing building blocks for AI so you know how you build an AI model, but then they're doing like they're there is a just language called like scratch or something where it's just basically, yeah, like build code being like blocks but doing. But they're doing that for like an AI model. So like, you build that in blocks. Which I think they're going to win.",9
"Slicing for five axis, slicing for a like 5 axis 3D printer. So you know how in regular 3D printing we have 3 axes, so XY and Z. Yeah, but in a 5 axis, your print head is able to move like like in orientations. So like pitch and yeah so it rotates and what it's able to do is for example, it's able to do so like I want to print a curve.",2
"What it's able to do is print this way rather than printing like this and moving in the curve. So 5 axis slicing. That's cool is like something that's like not very developed, and they're all pretty crappy. So something like that can be improved, and something else I want want to build outside of hackathon, that inspiration, nonetheless, is like a gym for like training robots. And like, I mean, I just want to do it so I. And see how to build it. But basically you know how, like in reinforcement learning like you have to have an environment that kind of simulates the real world and so that's what the gym is basically. And then building that building 1 from ground up would be cool. Just ideas, throwing them out there.",2
That's not as wow.,8
"Something that I haven't described yet. Do you guys know, have have you played Zelda before? And I know you haven't, but actually I think I can show you I brought my switch. But it's like I I did part of this project that I envisioned before, but I couldn't pull it off as well as I wanted to. So the Shika slate is the map and other tools, whatever of the last two Zelda games. One of one part that I really liked about it was wherever you've been, it keeps track of as well as how you got there. So the route or the path it like draws the path the way that I wanted to do that for us is our Google Maps history and just mapping our Google Maps history and how like we go about our day and recreating that and like so that's there's the map there's you would. Like take a picture of the universe with the Shika slate, so that would be like computer vision. If we want to make one project that everyone has their own part of. But yeah.",2
Interesting,6
"And one application of that is, you know how this same left hand grey shirt looks different on different people with different skin tones. Like I was just thinking of computer vision applications and that's one way that we could do it. So like.",2
"Oh, that's cool, actually. I like that, OK. That's cool. Yeah, because I remember there was this thing where it's like. It's like in Korea or something. And then like you go and then like you have like a thing and yeah, yeah, yeah, yeah.",6
"Yeah, yeah. OK. Actually, I like that. That's interesting color theory. So I feel like there's a certain, like there's a challenge to that too from the software side. But it's it would be interesting to try to replicate that sort of effect of like, you know, having that the the like the templates there and then like it you know projects onto your face somehow and then like creates that effect and see what you look like with that, you know, wearing that that item.",10
I know that that exists because I know they do that for nail polish. OK. Like it's AR and they they they map the.,15
"Yeah. Yeah, I think that's very interesting. The CV [computer vision] part of that is interesting too, because like you have to understand, sort of physics to do that kind of reflection.",6
Is it? Is it or is that straightforward like applying color theory?,12
"Yeah, honestly, we can't. We can even do that in like web and then do it as like a Chrome plugin if we can do it simple enough. Like I don't know about the AR part, that might be tough, but if we just work with like an image of yourself or something.",13
"Oh wow. Damn. OK, so this. To reiterate again, this idea is getting people to try on different colors of clothes they want to get, and then see what's the best color fit for them? So like for an.",3
"OK, wait. To clarify, because there's the AR, or like mapping it onto the person idea that we have, and there's the answering what color suits you.",4
"Yeah, both are not that easy though, yeah.",12
"There. Yeah. So if we can find that then, great. Then the problem becomes understanding what color fits in the best. But OK, I have. OK, so technically I'm OK. I have like usability questions like how how are we like theoretically, how are we going to be able to like predict what they like when there's like in my mind, there's so many factors like mood, timing, event, something gonna happen in my life, etcetera? You know?",7
"I mean that part gets answered by the fact that it's color theory it's it's not like what what you like, it's what suits your skin tone like the the color theory of it is. Like so because. He he, he, he. Visualizes it. When I explain of like there are different clothes, different colored clothes on you and then they they like in this consultation, they they flip between this red or the the the darker red or the lighter red and like the the the the question of which suits you would be just adding a condition of is this are these clashing colors? Are there complementary colors? Are they like? Do you see this as its true color next to it? Or do you have the illusion of it that it's actually lighter or darker than it actually is? Like that parts color theory.",2
"OK so. If it's color theory, then why do we, why do we care about what the user thinks?",3
"That's that's. That's what I mean by like it's it's just color theory. It's there's the reflection of it. Where, like it, it bounces back on to the face of the user. But at the lowest level, it's how do you have you seen those optical illusions where, like let's say, the black and white checkers and then they're 2 grays and you think they're different grays, but it's only because of the colors they're next to that they look different, but they're actually the exact same shade of gray?",15
"OK. So to reclarify now... We use color theory. And computer vision to basically see. What the the persons colors are and use color theory in your mind? What's a good color fit for them? Is that. That's the idea. OK, I get that part.",3
"This is the illusion that I was trying to explain. A&B are the exact same gray, but because of the colors around them, it looks like they're different grays, but they're the exact same shade of gray. That's what the color theory is of like. Does this gray look good on you, or does this gray look good on you? Is what we're trying to tell the user.",4
"I'm trying to see if a use case could be a hackathon project. Even if the thing itself isn't. Another computer vision application that I tried before, but I never actually solved so it’s still up for the running, I wanted to make something that like measured something from an image. Like if I take a picture of a door, will it know how thick the door is or wide the door is? And I know that you need either multiple images or three cameras at the same time to be able to like see depth. So that would be.",2
"Yeah, like technologically a challenge.",12
"Coherence is NLP and because it's an MLH prize, there won't be a lot of competition for it.",0
"I feel like, uh, LLMs have been explored a lot already, so a lot of these cases have already been fleshed out, yeah. I don't see a lot there.",9
"Because I think sometimes it's just like you might have a really good idea, but then it's like, does it actually work? I think that's hard to do.",7
"And then if we demo it, it could be as simple as I think one wow factor if we want to demo it could be are actually because you can dumb it down into we have an original image of what it's supposed to look like, and we're comparing what it actually already looks like right now to that original. So whatever is off if a thing is not in its container, something spilled, yeah.",2
"Like finding, almost like finding differences, right? Yeah.",3
"Like for demoing, we could have. Let's say random stuff like a water bottle or lanyard in front of our laptop webcam, and then there's an order like water bottle, webcam, phone that is supposed to be the clean room. And then we jumble it up and show and demonstrate that, hey, it's recognizing that something's wrong, and then we rearrange it in front of the judges. Yeah. And then rescan it. It sees that they’re more or less the right order. Boom. Demonstration.",2
"Yeah, for sure. So this one was a little promising. The last thing I said was it promising? The clean room thing.",7
"Sure. I think it's suitable, yeah.",7
"that'll be sick. I think what we can do is you have the thing kind of hollow, and then you have some sort of weight and you just like control where the weight is angling and you will also have some sort of sensor probably an accelerometer to detect whether or not your level. And then you can detect your angle of change and then by changing the way you can change that angle. And then go to where you want to go. Which is cool.",2
That's cool. I like that.,6
"If it was me, like if I were to try and short list I I kind of like the the shirt idea, the room roommate assistant. Like, I feel like I I would like those too, yeah. The color your shirt was kind. Cool. Yeah, you could also do something like also like depending on like the weather or something, what would be the best outfit? Maybe like a I don't know hoodie or shirt or something like that.",6
"Like he's just a man. He's the robot. OK, that's. OK, these are some nice ideas at least.",6
"Like how to use? I mean I've got some servos so they're very basic, but we're able to do some like movement thingy would be fun or challenging. Now that I think about we could do like an arm tracking thing, but then we have the like.",12
This this would most likely be difficult.,7
I'll make a repo. We want to call it. Right. What? What names do you want? What name do you want to call this? With this project,17
This might be a difficult project because skin tone is like people write papers on this shit.,12
Right. What kind of instrument?,3
"Any instrument somehow I remember like  one of my friends we actually had this idea but we never did it. You can make like sounds based on like a a distance meter. So like that was one idea or like a flex sensor. So the more you flex it just increases the pitch, kind of like a theramin sort of but like just using sensors a bit. And it was produce sounds or something at least you produce music that way.",2
"That sounds pretty cool, yeah.",6
"So the only concern I have is when detecting the person, I want to know like whether the camera or whatever it is that we're detecting, how is it able to like get that data? Like how are we going to get data from that camera when it sees something? yeah.",3
"Most likely using a library or else we'd have to do it from scratch,",4
"Honestly, like I think this is a cool baseline, but I would love to include like like version two. I feel like it be really cool like this could be like a lke a like a closet for the decider? Yeah. Like we could add layers to it after we did the baseline. Like maybe like I said, like based on the temperature. What should I wear or like based on I don't know body type, what what should I wear? Like what cloth item should I wear? Like a hoodie or shirt or maybe some? Trousers or like all like?",5
I think this would be cool. I like the idea a lot.,6
"Yeah, that's good.",6
Yeah. Doable. Very doable.,7
"Like well over the use case for that be control robot, so it would just move like up and down. But we're talking.",4
"There is a thing called open pose or something and it's able to detect like angles between each joint, yeah. And then so it should be able to do like angle between these and then this and then another.",2
"I mean the arm detection part, right? But then that's the thing. Like we have no spaces. But we use this up for that. It would be cool because I don't think anybody else has built like that, yeah. I don't think.",9
Is it feasible within a hackathon?,7
I lowkey like this idea.,6
