Speech Segment,Open code(s)
"Something that I haven't described yet. Do you guys know, have have you played Zelda before? And I know you haven't, but actually I think I can show you I brought my switch. But it's like I I did part of this project that I envisioned before, but I couldn't pull it off as well as I wanted to. So the Shika slate is the map and other tools, whatever of the last two Zelda games. One of one part that I really liked about it was wherever you've been, it keeps track of as well as how you got there. So the route or the path it like draws the path the way that I wanted to do that for us is our Google Maps history and just mapping our Google Maps history and how like we go about our day and recreating that and like so that's there's the map there's you would. Like take a picture of the universe with the Shika slate, so that would be like computer vision. If we want to make one project that everyone has their own part of. But yeah.",44
Interesting,48
"I have an idea, but it's dependent on how good the camera will be. You know color theory?",67
"And one application of that is, you know how this same left hand grey shirt looks different on different people with different skin tones. Like I was just thinking of computer vision applications and that's one way that we could do it. So like.",44
"Oh, that's cool, actually. I like that, OK. That's cool. Yeah, because I remember there was this thing where it's like. It's like in Korea or something. And then like you go and then like you have like a thing and yeah, yeah, yeah, yeah.",48
"Yeah, yeah. OK. Actually, I like that. That's interesting color theory. So I feel like there's a certain, like there's a challenge to that too from the software side. But it's it would be interesting to try to replicate that sort of effect of like, you know, having that the the like the templates there and then like it you know projects onto your face somehow and then like creates that effect and see what you look like with that, you know, wearing that that item.",52
I know that that exists because I know they do that for nail polish. OK. Like it's AR and they they they map the.,57
"Yeah. Yeah, I think that's very interesting. The CV [computer vision] part of that is interesting too, because like you have to understand, sort of physics to do that kind of reflection.",48
Is it? Is it or is that straightforward like applying color theory?,54
"Yeah, honestly, we can't. We can even do that in like web and then do it as like a Chrome plugin if we can do it simple enough. Like I don't know about the AR part, that might be tough, but if we just work with like an image of yourself or something.",55
"We can borrow, but even if even if we can't, if even.",67
"Oh wow. Damn. OK, so this. To reiterate again, this idea is getting people to try on different colors of clothes they want to get, and then see what's the best color fit for them? So like for an.",45
"OK, wait. To clarify, because there's the AR, or like mapping it onto the person idea that we have, and there's the answering what color suits you.",46
"Yeah, both are not that easy though, yeah.",54
The second one needs the first. So are we good with just mapping it on to then?,39
"There. Yeah. So if we can find that then, great. Then the problem becomes understanding what color fits in the best. But OK, I have. OK, so technically I'm OK. I have like usability questions like how how are we like theoretically, how are we going to be able to like predict what they like when there's like in my mind, there's so many factors like mood, timing, event, something gonna happen in my life, etcetera? You know?",49
"I mean that part gets answered by the fact that it's color theory it's it's not like what what you like, it's what suits your skin tone like the the color theory of it is. Like so because. He he, he, he. Visualizes it. When I explain of like there are different clothes, different colored clothes on you and then they they like in this consultation, they they flip between this red or the the the darker red or the lighter red and like the the the the question of which suits you would be just adding a condition of is this are these clashing colors? Are there complementary colors? Are they like? Do you see this as its true color next to it? Or do you have the illusion of it that it's actually lighter or darker than it actually is? Like that parts color theory.",44
"OK so. If it's color theory, then why do we, why do we care about what the user thinks?",45
"That's that's. That's what I mean by like it's it's just color theory. It's there's the reflection of it. Where, like it, it bounces back on to the face of the user. But at the lowest level, it's how do you have you seen those optical illusions where, like let's say, the black and white checkers and then they're 2 grays and you think they're different grays, but it's only because of the colors they're next to that they look different, but they're actually the exact same shade of gray?",57
"OK. So to reclarify now... We use color theory. And computer vision to basically see. What the the persons colors are and use color theory in your mind? What's a good color fit for them? Is that. That's the idea. OK, I get that part.",45
"This is the illusion that I was trying to explain. A&B are the exact same gray, but because of the colors around them, it looks like they're different grays, but they're the exact same shade of gray. That's what the color theory is of like. Does this gray look good on you, or does this gray look good on you? Is what we're trying to tell the user.",46
"OK. OK, so like a practical application would be we take their profiles, we do some computation back to get like what colors best fit and then from then on they can use this tool to project the clothes of that colour on them when they're buying or whatever, is that it getting right, OK.",88
"Could be. I know one of the sponsors. What does Genesis do again? Another one of the sponsors. I think if if they're if they're commerce website we could we could tweak this to say like this, make them shop for this color e-commerce. If that's what they do, and I remember.",63
We can keep thinking of other stuff too.,17
"Yeah, yeah. I think I think my hunger is cutting in the brain.",71
"I've done like I've built like little robots. I built 3D printers. Like it's all very. Yeah, like not hackathon type projects I guess.",65
"I'm trying to see if a use case could be a hackathon project. Even if the thing itself isn't. Another computer vision application that I tried before, but I never actually solved so it’s still up for the running, I wanted to make something that like measured something from an image. Like if I take a picture of a door, will it know how thick the door is or wide the door is? And I know that you need either multiple images or three cameras at the same time to be able to like see depth. So that would be.",44
"Yeah, like technologically a challenge.",54
"I mean, I think worse come to worse, we can pursue one of the sponsors. Like sponsor, what do you call them? Challenges. So we can look through those and see if we, you know, see anything we want to do. Sure. Yeah. There's no lack of things to do so. Yeah, VM. Oh, that's pretty good. VM Rover with Raspberry Pi and LIDAR for each member if we win",63
"Yeah, but they only have one eye, eye tracking glasses. That was a lot to read away, so I have no idea how they're doing.",67
What kind of use cases would we have for LLM's if that if we're going for a category?,28
"I feel like, uh, LLMs have been explored a lot already, so a lot of these cases have already been fleshed out, yeah. I don't see a lot there.",51
"Because I think sometimes it's just like you might have a really good idea, but then it's like, does it actually work? I think that's hard to do.",49
"OK. Well, let's see what they have. Microcontrollers. Do we want to request some stuff or just get a bunch of servos to begin with? I mean, we might not even use them, but. Oh, I requested them.",60
"And then if we demo it, it could be as simple as I think one wow factor if we want to demo it could be are actually because you can dumb it down into we have an original image of what it's supposed to look like, and we're comparing what it actually already looks like right now to that original. So whatever is off if a thing is not in its container, something spilled, yeah.",44
"Like finding, almost like finding differences, right? Yeah.",45
"Like for demoing, we could have. Let's say random stuff like a water bottle or lanyard in front of our laptop webcam, and then there's an order like water bottle, webcam, phone that is supposed to be the clean room. And then we jumble it up and show and demonstrate that, hey, it's recognizing that something's wrong, and then we rearrange it in front of the judges. Yeah. And then rescan it. It sees that they’re more or less the right order. Boom. Demonstration.",44
"Yeah, for sure. So this one was a little promising. The last thing I said was it promising? The clean room thing.",49
"Sure. I think it's suitable, yeah.",49
"Very, very unrelated, but a mechanics. Or robotics, or whichever it's thing that I think I'd want to make a rigged beyblade. Cool. Like, just be able to control where the Beyblade spins and goes",38
"that'll be sick. I think what we can do is you have the thing kind of hollow, and then you have some sort of weight and you just like control where the weight is angling and you will also have some sort of sensor probably an accelerometer to detect whether or not your level. And then you can detect your angle of change and then by changing the way you can change that angle. And then go to where you want to go. Which is cool.",44
"See, you thought that all the all the way through.",72
"Yeah, I'm not an ideas guy, but I can materialize your ideas.",82
By servos you mean like the Arduinos for the Raspberry pies and those motherboard things?,21
"Maybe they have a couple. Ohh no input but but it would be cool. So going off of like one of the ideas with, like the trash segregated thing, like, we could do some sort of like very simple vision stuff and then just have like a little robot that picks things and then places them or something like you know a good project to like incorporate a little bit of both. But then I think the other side of that, it's just like.",41
"Hey, what did I miss?",78
That's cool. I like that.,48
"If it was me, like if I were to try and short list I I kind of like the the shirt idea, the room roommate assistant. Like, I feel like I I would like those too, yeah. The color your shirt was kind. Cool. Yeah, you could also do something like also like depending on like the weather or something, what would be the best outfit? Maybe like a I don't know hoodie or shirt or something like that.",48
"That makes sense. That would add to the functionality. I think it would be a different direction but it would still be the same project, it would just be like OK, we're splitting it up amongst ourselves. We can all do different things.",15
That's true. Where did Speaker 2 go? Also a workshop or something?,79
He said he wanted to be recharged when. he got back.,74
"What does that mean? OK, cool. He's charging. This has a power plug on his back and just.",74
"Like he's just a man. He's the robot. OK, that's. OK, these are some nice ideas at least.",48
"I think that's cool with me. Yeah, I'm down to do that. What do what do you know how like, what do you know how to what to use?",16
"Like how to use? I mean I've got some servos so they're very basic, but we're able to do some like movement thingy would be fun or challenging. Now that I think about we could do like an arm tracking thing, but then we have the like.",54
This this would most likely be difficult.,49
Speaker 2 is back,78
Do you think that you guys are and we all are too tired to function?,71
What do we do instead?,28
Good question. I think we just take an idea and roll with it,29
"Like, yeah, OK, the colors, the thing was kind of cool. I think I like that. What do you guys think? Also the.",8
First question I want to ask. Is does VM do it? Like does it do it for us already?,63
"We can use this for the detection, but determining the skin color we can like it detects you right? What data does it extract from us? Do you know (to Speaker 2)?",21
"Sponsors are here until one, so if. If we collect all of our questions, they might be downstairs at their booth",63
"Ah, So what other library open TV? Something like that. Something a little more out-of-the-box that does people instead of just like, does algorithms? OK so. To do: find libraries. What else?",28
"Because I think everyone should also just make an account, not miss an account. But that post like sign up for the hackathon and then get added and then we can make a GitHub repo and then. Yeah, add everyone and then figure out how we want to merge code and stuff and then go from there, yes. And then divide and conquer. What task do you want to do?",27
I'll make a repo. We want to call it. Right. What? What names do you want? What name do you want to call this? With this project,59
We're all little bit dead though. I'm tired.,87
This might be a difficult project because skin tone is like people write papers on this shit.,54
"I mean, we could just do like a scale or something like.",39
Call it quits after we get to the divide and conquer part because I'm yawning so hard I am crying,87
"Actually guys, can I ask how serious we are about trying to compete versus trying to build something fun?",10
"I'm purely building something for fun. OK, I'll be honest. This is my first hackathon I have no intention of winning and just exploring things right now, OK.",5
"Yeah, none of the prizes are enough for me to lose sleep over.",61
"This one I'm down for whatever. Like if you guys are all competing, I'm competing, you know, I'm going with the flow.",16
"Yeah, I kind of want to compete, I think. Right. But I don't want to force anybody. So I'm kind of like debating in my mind like what should I do right? Now, OK, yeah.",3
Do you have a win ratio yet? Do you have a win ratio yet?,66
"Yeah, yeah. I don't want to, like, tell you guys later that ""I oh shit guys, I wish we should compete. And I just fucked up."" So yeah.",16
"Now I think I think the idea is cool, it's just that it's very like good for learning, and not for the prize category. Yeah, which is fine. Like, it's totally fine. I'm thinking about it for myself now.",19
"Oh, here's an idea. We can make an instrument using Arduino.",38
Right. What kind of instrument?,45
"Any instrument somehow I remember like  one of my friends we actually had this idea but we never did it. You can make like sounds based on like a a distance meter. So like that was one idea or like a flex sensor. So the more you flex it just increases the pitch, kind of like a theramin sort of but like just using sensors a bit. And it was produce sounds or something at least you produce music that way.",44
"That sounds pretty cool, yeah.",48
"The thing is, I would love to do this, but I have no idea how we would go about it. Like I I I'm I have zero clue where to even start it's. It's pretty cool. But I don't know what where to start.",88
"So the only concern I have is when detecting the person, I want to know like whether the camera or whatever it is that we're detecting, how is it able to like get that data? Like how are we going to get data from that camera when it sees something? yeah.",45
"Most likely using a library or else we'd have to do it from scratch,",46
He said data set. Will we need something like a database?,21
I wanna call dibs,31
"Yeah, we can divide and conquer that I think. Whatever you guys, whoever wants to do that.",31
"I think do the research, but I guess.",32
"Oh, she already did it? Cool.",31
Time to take a nap,87
"Honestly, like I think this is a cool baseline, but I would love to include like like version two. I feel like it be really cool like this could be like a lke a like a closet for the decider? Yeah. Like we could add layers to it after we did the baseline. Like maybe like I said, like based on the temperature. What should I wear or like based on I don't know body type, what what should I wear? Like what cloth item should I wear? Like a hoodie or shirt or maybe some? Trousers or like all like?",47
I think this would be cool. I like the idea a lot.,48
What do you guys think?,69
"Yeah, that's good.",48
Yeah. Doable. Very doable.,49
"And and following our categories. If we demonstrate using ourselves, we got the wow factor done because of the skin tone because of our our two Vs, we got the technical solid with the originality.",60
"Design. I got that down Pat. OK, we have a solid shot.",12
Uhm,88
"Depending on the pitch, we have a shot.",60
Yeah,88
What don't you like about it?,22
"No, just uhm, we are aiming for like the biggest category, which is like general overall prize? Yeah, that's that's where I'm like, apprehensive. Yeah, that's the hardest to win. Hence the fear. Uhhhhh",88
"We could still do that the control robot with camera gestures. I have the servos, which is the one, we could do that one.",20
If we can have something like a use case for this.,41
"Like well over the use case for that be control robot, so it would just move like up and down. But we're talking.",46
"There is a thing called open pose or something and it's able to detect like angles between each joint, yeah. And then so it should be able to do like angle between these and then this and then another.",44
"I mean the arm detection part, right? But then that's the thing. Like we have no spaces. But we use this up for that. It would be cool because I don't think anybody else has built like that, yeah. I don't think.",51
Is it feasible within a hackathon?,49
"Whichever decision you want to get to it, we just gotta get to one.",33
"OK, OK. Is it OK then if like? This is going to sound super asshole, but like is it OK then if like should I like split separately and do my own thing? I feel like I'm pushing this agenda on you guys, OK and it's like really, really like solo. Like it's it's like like I agree with you guys, you guys should be doing this for fun and like.",76
"Yeah. What do you guys think? Like I'm honestly. OK, with that as well.",69
"I get it bro. Like. No. Like everyone has their own motivations in this. Don’t feel bad, it's alright.",7
Like you came here. Like if you came here like you should do what you want to do. Right. You know what you feel most comfortable with,16
"Yeah. No, I mean, I'm not gonna lie. I didn't expect to be like this and I came here and now again I feel like I should, I just want to compete now. So yeah, yeah.",6
"Its okay bro, don't worry about it. It's all good. Don't worry about it. But yeah, all right, sweet.",73
"I mean, I think you guys can do this. I really think it's fun, I wish there was a computer vision prize.",73
I lowkey like this idea.,48
"Yeah, I know you guys like this idea, I feel really bad.",16
"You don't gotta feel bad if you wanna do your thing. You do your thing, and then we'll just post again on the looking for team chat.",73
You guys okay?,69
So I will root for you guys to reach top 12.,75
Sounds good. But hopefully we can. Pitch this idea in the group and hopefully someone.,80
"Good luck, guys",75
I don't know. I think I'll try to find. OK. But I'll think of an idea first for myself.,60
"Yes, yes. Yeah. Cause just the prize pool is crazy",61
"Yeah, let's go.",64
Should I leave this here?,77
"Here we're all conquered and divided, right? You're all taking a break, yeah.",26
"OK, like you gotta do like this spread. Leaving your laptop here overnight. Yeah, I will. So we're not leaving.",77
When are you going to go to sleep?,87
There is one who wants to meet us right now.,81
